地区ID,地区名,戦闘形式,人形ID,種類,人形,レベル,改造,リンク数,最大HP,会心率,会心ダメージ,破甲,火力,命中,回避,射速,防御,弾薬数,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測 (1-Fairy),ダメージ予測 (2-Fairy),ダメージ予測 (3-Fairy),ダメージ予測 (4-Fairy),順位
714,初級4,昼戦,29,SMG,ステンMK-II,44,0,3,399,5%,150%,15,15,8,44,64,0,0,67,0,1,0,T外骨格 (2-Star),-,-,1239,92,111,130,148,12
714,初級4,昼戦,75,MG,M1918,58,0,3,372,25%,150%,415,70,35,21,93,0,8,50,0,2,0,特殊貫通弾 (4-Star),レッドサイト (4-Star),-,3603,90,108,126,144,13
714,初級4,昼戦,90,HG,FF FNP9,31,0,3,117,30%,150%,15,17,21,37,48,0,0,31,0,1,0,サイレンサー (3-Star),-,-,640,88,105,123,140,14
714,初級4,昼戦,5,HG,M1895,30,0,3,135,30%,150%,15,18,18,39,34,0,0,57,0,1,0,サイレンサー (3-Star),-,-,630,86,103,121,138,15
714,初級4,昼戦,61,AR,StG44,36,0,3,258,30%,150%,15,33,21,21,48,0,0,100,0,1,0,サイレンサー (3-Star),-,-,950,83,99,116,133,16
714,初級4,昼戦,105,AR,OTs-12,35,0,3,213,30%,150%,15,25,24,28,57,0,0,51,0,1,0,サイレンサー (3-Star),-,-,922,80,96,112,129,17
714,初級4,昼戦,162,SG,SPAS-12,67,0,3,690,40%,164%,15,36,8,6,29,19,4,50,0,1,0,防弾ベスト (3-Star),バックショット (4-Star),-,2152,80,96,112,129,18
714,初級4,昼戦,18,SMG,イングラム,31,0,3,345,5%,100%,15,22,5,27,80,0,0,60,0,1,0,チップ (3-Star),-,-,964,72,86,101,115,19
714,初級4,昼戦,94,SMG,64式,32,0,3,348,5%,100%,15,21,5,27,82,0,0,60,0,1,0,チップ (3-Star),-,-,957,71,86,100,114,20
714,初級4,昼戦,44,RF,SV-98,36,0,3,171,40%,150%,15,72,33,13,30,0,0,65,0,1,0,-,-,-,962,48,57,67,76,21
714,初級4,昼戦,51,RF,FF FN49,35,0,3,189,40%,150%,15,65,27,14,26,0,0,50,0,1,0,-,-,-,844,42,50,59,67,22
714,初級4,昼戦,71,AR,ガリル,24,0,2,130,20%,150%,15,26,16,14,48,0,0,47,0,1,0,ホロサイト (2-Star),-,-,467,40,49,57,65,23
714,初級4,昼戦,70,AR,FF FNC,14,0,2,126,20%,150%,15,24,12,10,53,0,0,50,0,1,0,-,-,-,435,38,45,53,60,24
714,初級4,昼戦,3,HG,M9,1,0,1,38,20%,150%,15,11,8,9,42,0,0,50,0,1,0,-,-,-,147,20,24,28,32,25
714,初級4,昼戦,2,HG,M1911,1,0,1,37,20%,150%,15,10,6,9,38,0,0,50,0,1,0,-,-,-,135,18,22,25,29,26
714,初級4,昼戦,16,SMG,トンプソン,1,0,1,119,5%,150%,15,12,2,8,57,0,0,50,0,1,0,-,-,-,241,18,21,25,28,27
714,初級4,昼戦,9,HG,P38,1,0,1,33,20%,150%,15,10,6,10,38,0,0,50,0,1,0,-,-,-,131,18,21,25,28,28
714,初級4,昼戦,60,AR,AS Val,1,0,1,66,20%,150%,15,15,6,7,52,0,0,50,0,1,0,-,-,-,186,16,19,22,26,29
714,初級4,昼戦,349,AR,AK74M,1,0,1,55,20%,150%,15,17,7,5,48,0,0,50,0,1,0,-,-,-,173,15,18,21,24,30
714,初級4,昼戦,25,SMG,MP40,1,0,1,93,5%,150%,15,11,2,8,52,0,0,50,0,1,0,-,-,-,197,14,17,20,23,31
714,初級4,昼戦,17,SMG,M3,1,0,1,93,5%,150%,15,11,2,9,46,0,0,50,0,1,0,-,-,-,199,14,17,20,23,32
714,初級4,昼戦,63,AR,Gr G3,1,0,1,55,20%,150%,15,20,6,5,41,0,0,50,0,1,0,-,-,-,162,14,17,19,22,33
714,初級4,昼戦,74,AR,SIG-510,1,0,1,58,20%,150%,15,20,5,5,39,0,0,50,0,1,0,-,-,-,162,14,17,19,22,34
714,初級4,昼戦,133,AR,63式,1,0,1,50,20%,150%,15,19,5,5,50,0,0,50,0,1,0,-,-,-,157,13,16,19,21,35
714,初級4,昼戦,348,RF,HS.50,1,0,1,44,40%,150%,15,54,10,4,22,0,0,50,0,4,0,-,-,-,203,10,12,14,16,36
714,初級4,昼戦,148,RF,IWS 2000,1,0,1,44,40%,150%,15,55,9,4,21,0,0,50,0,1,0,-,-,-,179,8,10,12,14,37
714,初級4,昼戦,40,RF,SVT-38,1,0,1,42,40%,150%,15,43,8,5,24,0,0,50,0,1,0,-,-,-,159,7,9,11,12,38
714,初級4,昼戦,47,RF,G43,1,0,1,40,40%,150%,15,41,8,4,27,0,0,50,0,1,0,-,-,-,159,7,9,11,12,39
714,初級4,昼戦,77,MG,M2HB,1,0,1,108,5%,150%,15,42,3,3,72,0,10,50,0,1,0,-,-,-,252,6,7,8,10,40
714,初級4,昼戦,82,MG,DP28,1,0,1,71,5%,150%,15,31,4,4,76,0,9,50,0,1,0,-,-,-,207,5,6,7,8,41
718,初級8,昼戦,56,AR,M4 SOPMOD II,90,0,5,525,70%,150%,15,62,83,44,76,0,0,100,0,4,0,レッドサイト (4-Star),レッドサイト (5-Star),高速弾 (4-Star),4377,601,722,842,962,1
718,初級8,昼戦,55,AR,M4A1,90,0,5,525,34%,100%,15,65,47,54,93,0,0,100,0,3,0,サイレンサー (4-Star),高速弾 (3-Star),チップ (4-Star),3991,548,658,768,878,2
718,初級8,昼戦,57,AR,ST AR-15,90,0,5,500,34%,150%,15,50,48,54,75,0,0,100,0,3,0,サイレンサー (3-Star),サイレンサー (2-Star),高速弾 (2-Star),3374,463,556,649,742,3
718,初級8,昼戦,75,MG,M1918,58,0,3,372,25%,150%,415,70,35,21,93,0,8,50,0,2,0,特殊貫通弾 (4-Star),レッドサイト (4-Star),-,3603,225,270,315,360,4
718,初級8,昼戦,54,AR,M16A1,58,0,3,288,20%,150%,15,37,29,27,66,4,0,50,0,1,0,高速弾 (2-Star),防弾ベスト (3-Star),-,1357,186,223,261,298,5
718,初級8,昼戦,27,SMG,スコーピオン,70,0,4,540,5%,100%,13,30,11,66,94,0,0,100,0,1,0,チップ (3-Star),ホローポイント弾 (3-Star),-,2291,171,206,240,274,6
718,初級8,昼戦,26,SMG,Gr MP5,70,0,4,568,5%,150%,13,30,11,60,82,0,0,100,0,1,0,T外骨格 (2-Star),ホローポイント弾 (3-Star),-,2244,168,201,235,269,7
718,初級8,昼戦,162,SG,SPAS-12,67,0,3,690,40%,164%,15,36,8,6,29,19,4,50,0,1,0,防弾ベスト (3-Star),バックショット (4-Star),-,2152,134,161,188,215,8
718,初級8,昼戦,6,HG,トカレフ,41,0,3,183,30%,150%,15,20,24,36,43,0,0,52,0,1,0,サイレンサー (3-Star),-,-,798,131,158,184,210,9
718,初級8,昼戦,61,AR,StG44,36,0,3,258,30%,150%,15,33,21,21,48,0,0,100,0,1,0,サイレンサー (3-Star),-,-,950,130,156,182,209,10
718,初級8,昼戦,105,AR,OTs-12,35,0,3,213,30%,150%,15,25,24,28,57,0,0,51,0,1,0,サイレンサー (3-Star),-,-,922,126,152,177,202,11
718,初級8,昼戦,12,HG,C96,40,0,3,174,30%,150%,15,19,20,34,51,0,0,50,0,1,0,サイレンサー (3-Star),-,-,777,106,128,149,170,12
718,初級8,昼戦,29,SMG,ステンMK-II,44,0,3,399,5%,150%,15,15,8,44,64,0,0,67,0,1,0,T外骨格 (2-Star),-,-,1239,92,111,130,148,13
718,初級8,昼戦,10,HG,PPK,34,0,3,114,30%,150%,15,15,25,46,49,0,0,36,0,1,0,サイレンサー (3-Star),-,-,666,91,109,128,146,14
718,初級8,昼戦,90,HG,FF FNP9,31,0,3,117,30%,150%,15,17,21,37,48,0,0,31,0,1,0,サイレンサー (3-Star),-,-,640,88,105,123,140,15
718,初級8,昼戦,5,HG,M1895,30,0,3,135,30%,150%,15,18,18,39,34,0,0,57,0,1,0,サイレンサー (3-Star),-,-,630,86,103,121,138,16
718,初級8,昼戦,37,RF,M14,71,0,4,288,50%,150%,60,88,53,24,40,0,0,70,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2307,86,103,121,138,17
718,初級8,昼戦,36,RF,スプリングフィールド,70,0,4,284,50%,150%,60,103,53,34,29,0,0,52,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2132,79,95,111,127,18
718,初級8,昼戦,18,SMG,イングラム,31,0,3,345,5%,100%,15,22,5,27,80,0,0,60,0,1,0,チップ (3-Star),-,-,964,72,86,101,115,19
718,初級8,昼戦,94,SMG,64式,32,0,3,348,5%,100%,15,21,5,27,82,0,0,60,0,1,0,チップ (3-Star),-,-,957,71,86,100,114,20
718,初級8,昼戦,70,AR,FF FNC,14,0,2,126,20%,150%,15,24,12,10,53,0,0,50,0,1,0,-,-,-,435,71,86,100,114,21
718,初級8,昼戦,71,AR,ガリル,24,0,2,130,24%,150%,15,25,15,16,49,0,0,47,0,1,0,サイレンサー (2-Star),-,-,470,64,77,90,103,22
718,初級8,昼戦,44,RF,SV-98,36,0,3,171,40%,150%,15,72,33,13,30,0,0,65,0,1,0,-,-,-,962,36,43,50,57,23
718,初級8,昼戦,51,RF,FF FN49,35,0,3,189,40%,150%,15,65,27,14,26,0,0,50,0,1,0,-,-,-,844,31,37,44,50,24
718,初級8,昼戦,60,AR,AS Val,1,0,1,66,20%,150%,15,15,6,7,52,0,0,50,0,1,0,-,-,-,186,25,30,35,40,25
718,初級8,昼戦,349,AR,AK74M,1,0,1,55,20%,150%,15,17,7,5,48,0,0,50,0,1,0,-,-,-,173,23,28,33,38,26
718,初級8,昼戦,63,AR,Gr G3,1,0,1,55,20%,150%,15,20,6,5,41,0,0,50,0,1,0,-,-,-,162,22,26,31,35,27
718,初級8,昼戦,74,AR,SIG-510,1,0,1,58,20%,150%,15,20,5,5,39,0,0,50,0,1,0,-,-,-,162,22,26,31,35,28
718,初級8,昼戦,133,AR,63式,1,0,1,50,20%,150%,15,19,5,5,50,0,0,50,0,1,0,-,-,-,157,21,25,30,34,29
718,初級8,昼戦,3,HG,M9,1,0,1,38,20%,150%,15,11,8,9,42,0,0,50,0,1,0,-,-,-,147,20,24,28,32,30
718,初級8,昼戦,2,HG,M1911,1,0,1,37,20%,150%,15,10,6,9,38,0,0,50,0,1,0,-,-,-,135,18,22,25,29,31
718,初級8,昼戦,16,SMG,トンプソン,1,0,1,119,5%,150%,15,12,2,8,57,0,0,50,0,1,0,-,-,-,241,18,21,25,28,32
718,初級8,昼戦,9,HG,P38,1,0,1,33,20%,150%,15,10,6,10,38,0,0,50,0,1,0,-,-,-,131,18,21,25,28,33
718,初級8,昼戦,77,MG,M2HB,1,0,1,108,5%,150%,15,42,3,3,72,0,10,50,0,1,0,-,-,-,252,15,18,22,25,34
718,初級8,昼戦,25,SMG,MP40,1,0,1,93,5%,150%,15,11,2,8,52,0,0,50,0,1,0,-,-,-,197,14,17,20,23,35
718,初級8,昼戦,17,SMG,M3,1,0,1,93,5%,150%,15,11,2,9,46,0,0,50,0,1,0,-,-,-,199,14,17,20,23,36
718,初級8,昼戦,82,MG,DP28,1,0,1,71,5%,150%,15,31,4,4,76,0,9,50,0,1,0,-,-,-,207,12,15,18,20,37
718,初級8,昼戦,348,RF,HS.50,1,0,1,44,40%,150%,15,54,10,4,22,0,0,50,0,4,0,-,-,-,203,7,9,10,12,38
718,初級8,昼戦,148,RF,IWS 2000,1,0,1,44,40%,150%,15,55,9,4,21,0,0,50,0,1,0,-,-,-,179,6,8,9,10,39
718,初級8,昼戦,40,RF,SVT-38,1,0,1,42,40%,150%,15,43,8,5,24,0,0,50,0,1,0,-,-,-,159,5,7,8,9,40
718,初級8,昼戦,47,RF,G43,1,0,1,40,40%,150%,15,41,8,4,27,0,0,50,0,1,0,-,-,-,159,5,7,8,9,41
724,中級4,昼戦,56,AR,M4 SOPMOD II,90,0,5,525,70%,150%,15,62,83,44,76,0,0,100,0,4,0,レッドサイト (4-Star),レッドサイト (5-Star),高速弾 (4-Star),4377,601,722,842,962,1
724,中級4,昼戦,55,AR,M4A1,90,0,5,525,34%,100%,15,65,47,54,93,0,0,100,0,3,0,サイレンサー (4-Star),高速弾 (3-Star),チップ (4-Star),3991,548,658,768,878,2
724,中級4,昼戦,57,AR,ST AR-15,90,0,5,500,34%,150%,15,50,48,54,75,0,0,100,0,3,0,サイレンサー (3-Star),サイレンサー (2-Star),高速弾 (2-Star),3374,463,556,649,742,3
724,中級4,昼戦,27,SMG,スコーピオン,70,0,4,540,5%,100%,13,30,11,66,94,0,0,100,0,1,0,チップ (3-Star),ホローポイント弾 (3-Star),-,2291,286,343,400,458,4
724,中級4,昼戦,26,SMG,Gr MP5,70,0,4,568,5%,150%,13,30,11,60,82,0,0,100,0,1,0,T外骨格 (2-Star),ホローポイント弾 (3-Star),-,2244,280,336,392,448,5
724,中級4,昼戦,54,AR,M16A1,58,0,3,288,20%,150%,15,37,29,27,66,4,0,50,0,1,0,高速弾 (2-Star),防弾ベスト (3-Star),-,1357,186,223,261,298,6
724,中級4,昼戦,37,RF,M14,71,0,4,288,50%,150%,60,88,53,24,40,0,0,70,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2307,173,207,242,276,7
724,中級4,昼戦,36,RF,スプリングフィールド,70,0,4,284,50%,150%,60,103,53,34,29,0,0,52,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2132,159,191,223,255,8
724,中級4,昼戦,29,SMG,ステンMK-II,44,0,3,399,5%,150%,15,15,8,44,64,0,0,67,0,1,0,T外骨格 (2-Star),-,-,1239,154,185,216,247,9
724,中級4,昼戦,75,MG,M1918,58,0,3,372,25%,150%,415,70,35,21,93,0,8,50,0,2,0,特殊貫通弾 (4-Star),レッドサイト (4-Star),-,3603,135,162,189,216,10
724,中級4,昼戦,162,SG,SPAS-12,67,0,3,690,40%,164%,15,36,8,6,29,19,4,50,0,1,0,防弾ベスト (3-Star),バックショット (4-Star),-,2152,134,161,188,215,11
724,中級4,昼戦,61,AR,StG44,36,0,3,258,30%,150%,15,33,21,21,48,0,0,100,0,1,0,サイレンサー (3-Star),-,-,950,130,156,182,209,12
724,中級4,昼戦,105,AR,OTs-12,35,0,3,213,30%,150%,15,25,24,28,57,0,0,51,0,1,0,サイレンサー (3-Star),-,-,922,126,152,177,202,13
724,中級4,昼戦,18,SMG,イングラム,31,0,3,345,5%,100%,15,22,5,27,80,0,0,60,0,1,0,チップ (3-Star),-,-,964,120,144,168,192,14
724,中級4,昼戦,94,SMG,64式,32,0,3,348,5%,100%,15,21,5,27,82,0,0,60,0,1,0,チップ (3-Star),-,-,957,119,143,167,191,15
724,中級4,昼戦,6,HG,トカレフ,41,0,3,183,30%,150%,15,20,24,36,43,0,0,52,0,1,0,サイレンサー (3-Star),-,-,798,109,131,153,175,16
724,中級4,昼戦,12,HG,C96,40,0,3,174,30%,150%,15,19,20,34,51,0,0,50,0,1,0,サイレンサー (3-Star),-,-,777,106,128,149,170,17
724,中級4,昼戦,10,HG,PPK,34,0,3,114,30%,150%,15,15,25,46,49,0,0,36,0,1,0,サイレンサー (3-Star),-,-,666,91,109,128,146,18
724,中級4,昼戦,90,HG,FF FNP9,31,0,3,117,30%,150%,15,17,21,37,48,0,0,31,0,1,0,サイレンサー (3-Star),-,-,640,88,105,123,140,19
724,中級4,昼戦,5,HG,M1895,30,0,3,135,30%,150%,15,18,18,39,34,0,0,57,0,1,0,サイレンサー (3-Star),-,-,630,86,103,121,138,20
724,中級4,昼戦,44,RF,SV-98,36,0,3,171,40%,150%,15,72,33,13,30,0,0,65,0,1,0,-,-,-,962,72,86,101,115,21
724,中級4,昼戦,71,AR,ガリル,24,0,2,130,24%,150%,15,25,15,16,49,0,0,47,0,1,0,サイレンサー (2-Star),-,-,470,64,77,90,103,22
724,中級4,昼戦,51,RF,FF FN49,35,0,3,189,40%,150%,15,65,27,14,26,0,0,50,0,1,0,-,-,-,844,63,75,88,101,23
724,中級4,昼戦,70,AR,FF FNC,14,0,2,126,20%,150%,15,24,12,10,53,0,0,50,0,1,0,-,-,-,435,59,71,83,95,24
724,中級4,昼戦,16,SMG,トンプソン,1,0,1,119,5%,150%,15,12,2,8,57,0,0,50,0,1,0,-,-,-,241,30,36,42,48,25
724,中級4,昼戦,60,AR,AS Val,1,0,1,66,20%,150%,15,15,6,7,52,0,0,50,0,1,0,-,-,-,186,25,30,35,40,26
724,中級4,昼戦,25,SMG,MP40,1,0,1,93,5%,150%,15,11,2,8,52,0,0,50,0,1,0,-,-,-,197,24,29,34,39,27
724,中級4,昼戦,17,SMG,M3,1,0,1,93,5%,150%,15,11,2,9,46,0,0,50,0,1,0,-,-,-,199,24,29,34,39,28
724,中級4,昼戦,349,AR,AK74M,1,0,1,55,20%,150%,15,17,7,5,48,0,0,50,0,1,0,-,-,-,173,23,28,33,38,29
724,中級4,昼戦,63,AR,Gr G3,1,0,1,55,20%,150%,15,20,6,5,41,0,0,50,0,1,0,-,-,-,162,22,26,31,35,30
724,中級4,昼戦,74,AR,SIG-510,1,0,1,58,20%,150%,15,20,5,5,39,0,0,50,0,1,0,-,-,-,162,22,26,31,35,31
724,中級4,昼戦,133,AR,63式,1,0,1,50,20%,150%,15,19,5,5,50,0,0,50,0,1,0,-,-,-,157,21,25,30,34,32
724,中級4,昼戦,3,HG,M9,1,0,1,38,20%,150%,15,11,8,9,42,0,0,50,0,1,0,-,-,-,147,20,24,28,32,33
724,中級4,昼戦,2,HG,M1911,1,0,1,37,20%,150%,15,10,6,9,38,0,0,50,0,1,0,-,-,-,135,18,22,25,29,34
724,中級4,昼戦,9,HG,P38,1,0,1,33,20%,150%,15,10,6,10,38,0,0,50,0,1,0,-,-,-,131,18,21,25,28,35
724,中級4,昼戦,348,RF,HS.50,1,0,1,44,40%,150%,15,54,10,4,22,0,0,50,0,4,0,-,-,-,203,15,18,21,24,36
724,中級4,昼戦,148,RF,IWS 2000,1,0,1,44,40%,150%,15,55,9,4,21,0,0,50,0,1,0,-,-,-,179,13,16,18,21,37
724,中級4,昼戦,40,RF,SVT-38,1,0,1,42,40%,150%,15,43,8,5,24,0,0,50,0,1,0,-,-,-,159,11,14,16,19,38
724,中級4,昼戦,47,RF,G43,1,0,1,40,40%,150%,15,41,8,4,27,0,0,50,0,1,0,-,-,-,159,11,14,16,19,39
724,中級4,昼戦,77,MG,M2HB,1,0,1,108,5%,150%,15,42,3,3,72,0,10,50,0,1,0,-,-,-,252,9,11,13,15,40
724,中級4,昼戦,82,MG,DP28,1,0,1,71,5%,150%,15,31,4,4,76,0,9,50,0,1,0,-,-,-,207,7,9,10,12,41
728,中級8,昼戦,56,AR,M4 SOPMOD II,90,0,5,525,70%,150%,15,62,83,44,76,0,0,100,0,4,0,レッドサイト (4-Star),レッドサイト (5-Star),高速弾 (4-Star),4377,382,459,536,612,1
728,中級8,昼戦,55,AR,M4A1,90,0,5,525,34%,100%,15,65,47,54,93,0,0,100,0,3,0,サイレンサー (4-Star),高速弾 (3-Star),チップ (4-Star),3991,349,419,488,558,2
728,中級8,昼戦,57,AR,ST AR-15,90,0,5,500,34%,150%,15,50,48,54,75,0,0,100,0,3,0,サイレンサー (3-Star),サイレンサー (2-Star),高速弾 (2-Star),3374,295,354,413,472,3
728,中級8,昼戦,27,SMG,スコーピオン,70,0,4,540,5%,100%,13,30,11,66,94,0,0,100,0,1,0,チップ (3-Star),ホローポイント弾 (3-Star),-,2291,286,343,400,458,4
728,中級8,昼戦,26,SMG,Gr MP5,70,0,4,568,5%,150%,13,30,11,60,82,0,0,100,0,1,0,T外骨格 (2-Star),ホローポイント弾 (3-Star),-,2244,280,336,392,448,5
728,中級8,昼戦,162,SG,SPAS-12,67,0,3,690,40%,164%,15,36,8,6,29,19,4,50,0,1,0,防弾ベスト (3-Star),バックショット (4-Star),-,2152,258,309,361,413,6
728,中級8,昼戦,37,RF,M14,71,0,4,288,50%,150%,60,88,53,24,40,0,0,70,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2307,173,207,242,276,7
728,中級8,昼戦,6,HG,トカレフ,41,0,3,183,30%,150%,15,20,24,36,43,0,0,52,0,1,0,サイレンサー (3-Star),-,-,798,159,191,223,255,8
728,中級8,昼戦,36,RF,スプリングフィールド,70,0,4,284,50%,150%,60,103,53,34,29,0,0,52,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2132,159,191,223,255,9
728,中級8,昼戦,12,HG,C96,40,0,3,174,30%,150%,15,19,20,34,51,0,0,50,0,1,0,サイレンサー (3-Star),-,-,777,155,186,217,248,10
728,中級8,昼戦,29,SMG,ステンMK-II,44,0,3,399,5%,150%,15,15,8,44,64,0,0,67,0,1,0,T外骨格 (2-Star),-,-,1239,154,185,216,247,11
728,中級8,昼戦,75,MG,M1918,58,0,3,372,25%,150%,415,70,35,21,93,0,8,50,0,2,0,特殊貫通弾 (4-Star),レッドサイト (4-Star),-,3603,135,162,189,216,12
728,中級8,昼戦,10,HG,PPK,34,0,3,114,30%,150%,15,15,25,46,49,0,0,36,0,1,0,サイレンサー (3-Star),-,-,666,133,159,186,213,13
728,中級8,昼戦,90,HG,FF FNP9,31,0,3,117,30%,150%,15,17,21,37,48,0,0,31,0,1,0,サイレンサー (3-Star),-,-,640,128,153,179,204,14
728,中級8,昼戦,5,HG,M1895,30,0,3,135,30%,150%,15,18,18,39,34,0,0,57,0,1,0,サイレンサー (3-Star),-,-,630,126,151,176,201,15
728,中級8,昼戦,18,SMG,イングラム,31,0,3,345,5%,100%,15,22,5,27,80,0,0,60,0,1,0,チップ (3-Star),-,-,964,120,144,168,192,16
728,中級8,昼戦,94,SMG,64式,32,0,3,348,5%,100%,15,21,5,27,82,0,0,60,0,1,0,チップ (3-Star),-,-,957,119,143,167,191,17
728,中級8,昼戦,54,AR,M16A1,58,0,3,288,20%,150%,15,37,29,27,66,4,0,50,0,1,0,高速弾 (2-Star),防弾ベスト (3-Star),-,1357,118,142,166,189,18
728,中級8,昼戦,61,AR,StG44,36,0,3,258,30%,150%,15,33,21,21,48,0,0,100,0,1,0,サイレンサー (3-Star),-,-,950,83,99,116,133,19
728,中級8,昼戦,105,AR,OTs-12,35,0,3,213,30%,150%,15,25,24,28,57,0,0,51,0,1,0,サイレンサー (3-Star),-,-,922,80,96,112,129,20
728,中級8,昼戦,44,RF,SV-98,36,0,3,171,40%,150%,15,72,33,13,30,0,0,65,0,1,0,-,-,-,962,72,86,101,115,21
728,中級8,昼戦,51,RF,FF FN49,35,0,3,189,40%,150%,15,65,27,14,26,0,0,50,0,1,0,-,-,-,844,63,75,88,101,22
728,中級8,昼戦,71,AR,ガリル,24,0,2,130,20%,150%,15,26,16,14,48,0,0,47,0,1,0,ホロサイト (2-Star),-,-,467,40,49,57,65,23
728,中級8,昼戦,70,AR,FF FNC,14,0,2,126,20%,150%,15,24,12,10,53,0,0,50,0,1,0,-,-,-,435,38,45,53,60,24
728,中級8,昼戦,16,SMG,トンプソン,1,0,1,119,5%,150%,15,12,2,8,57,0,0,50,0,1,0,-,-,-,241,30,36,42,48,25
728,中級8,昼戦,3,HG,M9,1,0,1,38,20%,150%,15,11,8,9,42,0,0,50,0,1,0,-,-,-,147,29,35,41,47,26
728,中級8,昼戦,2,HG,M1911,1,0,1,37,20%,150%,15,10,6,9,38,0,0,50,0,1,0,-,-,-,135,27,32,37,43,27
728,中級8,昼戦,9,HG,P38,1,0,1,33,20%,150%,15,10,6,10,38,0,0,50,0,1,0,-,-,-,131,26,31,36,41,28
728,中級8,昼戦,25,SMG,MP40,1,0,1,93,5%,150%,15,11,2,8,52,0,0,50,0,1,0,-,-,-,197,24,29,34,39,29
728,中級8,昼戦,17,SMG,M3,1,0,1,93,5%,150%,15,11,2,9,46,0,0,50,0,1,0,-,-,-,199,24,29,34,39,30
728,中級8,昼戦,60,AR,AS Val,1,0,1,66,20%,150%,15,15,6,7,52,0,0,50,0,1,0,-,-,-,186,16,19,22,26,31
728,中級8,昼戦,348,RF,HS.50,1,0,1,44,40%,150%,15,54,10,4,22,0,0,50,0,4,0,-,-,-,203,15,18,21,24,32
728,中級8,昼戦,349,AR,AK74M,1,0,1,55,20%,150%,15,17,7,5,48,0,0,50,0,1,0,-,-,-,173,15,18,21,24,33
728,中級8,昼戦,63,AR,Gr G3,1,0,1,55,20%,150%,15,20,6,5,41,0,0,50,0,1,0,-,-,-,162,14,17,19,22,34
728,中級8,昼戦,74,AR,SIG-510,1,0,1,58,20%,150%,15,20,5,5,39,0,0,50,0,1,0,-,-,-,162,14,17,19,22,35
728,中級8,昼戦,148,RF,IWS 2000,1,0,1,44,40%,150%,15,55,9,4,21,0,0,50,0,1,0,-,-,-,179,13,16,18,21,36
728,中級8,昼戦,133,AR,63式,1,0,1,50,20%,150%,15,19,5,5,50,0,0,50,0,1,0,-,-,-,157,13,16,19,21,37
728,中級8,昼戦,40,RF,SVT-38,1,0,1,42,40%,150%,15,43,8,5,24,0,0,50,0,1,0,-,-,-,159,11,14,16,19,38
728,中級8,昼戦,47,RF,G43,1,0,1,40,40%,150%,15,41,8,4,27,0,0,50,0,1,0,-,-,-,159,11,14,16,19,39
