地区ID,地区名,戦闘形式,人形ID,種類,人形,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測,順位
714,初級4,昼戦,20005,HG,M1895 Mod,200,1,10,10,専用装備,ホローポイント弾,T外骨格,3953,543,45
714,初級4,昼戦,1027,AR,アンジェリカ,100,0,10,0,オプティカル,高速弾,専用装備,6211,543,46
714,初級4,昼戦,20143,SMG,gun-10020143 Mod,200,1,10,10,T外骨格,ホローポイント弾,ドットサイト,7235,542,47
714,初級4,昼戦,294,HG,ウェブリー,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3945,542,48
714,初級4,昼戦,20122,AR,gun-10020122 Mod,100,0,10,10,オプティカル,高速弾,T外骨格,6200,542,49
714,初級4,昼戦,20104,SMG,gun-10020104 Mod,200,1,10,10,T外骨格,ホローポイント弾,ドットサイト,7197,539,50
714,初級4,昼戦,1017,HG,ジル・スティングレイ,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3907,537,51
714,初級4,昼戦,20002,HG,M1911 Mod,200,1,10,10,サイレンサー,専用装備,T外骨格,3900,536,52
714,初級4,昼戦,1018,HG,セイ・P・アサギリ,150,1,10,0,サイレンサー,ホローポイント弾,専用装備,3903,536,53
714,初級4,昼戦,20064,AR,Gr G36 Mod,200,1,10,10,専用装備,高速弾,T外骨格,6123,535,54
714,初級4,昼戦,250,HG,HS2000,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3896,535,55
714,初級4,昼戦,13,HG,92式,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3244,535,56
714,初級4,昼戦,20026,SMG,Gr MP5 Mod,100,0,10,10,専用装備,ホローポイント弾,専用装備,7121,534,57
714,初級4,昼戦,303,HG,HP-35,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3880,533,58
714,初級4,昼戦,330,AR,FX-05,100,0,10,0,オプティカル,高速弾,T外骨格,5082,533,59
714,初級4,昼戦,328,SMG,AR-57,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,5919,532,60
714,初級4,昼戦,242,HG,P22,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3865,531,61
714,初級4,昼戦,260,HG,PA-15,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3860,530,62
714,初級4,昼戦,294,HG,ウェブリー,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3859,530,63
714,初級4,昼戦,285,HG,C-93,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3852,529,64
714,初級4,昼戦,126,HG,NZ75,100,0,10,0,専用装備,ホローポイント弾,X外骨格,3854,529,65
714,初級4,昼戦,4,HG,パイソン,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3843,528,66
714,初級4,昼戦,233,HG,Px4 ストーム,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3840,528,67
714,初級4,昼戦,20091,HG,MP-446 Mod,200,1,10,10,サイレンサー,ホローポイント弾,X外骨格,3837,527,68
714,初級4,昼戦,96,HG,グリズリー,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3839,527,69
714,初級4,昼戦,20171,AR,gun-10020171 Mod,200,1,10,10,オプティカル,高速弾,T外骨格,6027,527,70
714,初級4,昼戦,272,HG,デザートイーグル,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3827,526,71
714,初級4,昼戦,20101,SMG,UMP9 Mod,100,0,10,10,専用装備,ホローポイント弾,専用装備,7015,526,72
714,初級4,昼戦,1001,HG,ノエル,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3813,524,73
714,初級4,昼戦,1017,HG,ジル・スティングレイ,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3811,524,74
714,初級4,昼戦,1018,HG,セイ・P・アサギリ,100,0,10,0,サイレンサー,ホローポイント弾,専用装備,3816,524,75
714,初級4,昼戦,215,AR,MDR,150,1,10,0,専用装備,高速弾,T外骨格,5986,523,76
714,初級4,昼戦,20060,AR,AS Val Mod,200,1,10,10,オプティカル,高速弾,T外骨格,5970,522,77
714,初級4,昼戦,20056,AR,M4 SOPMOD II Mod,100,0,10,10,オプティカル,専用装備,高速弾,5971,522,78
714,初級4,昼戦,20057,AR,ST AR-15 Mod,100,0,10,10,オプティカル,オプティカル,専用装備,5969,522,79
714,初級4,昼戦,142,HG,Five-seven,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3796,521,80
714,初級4,昼戦,250,HG,HS2000,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3783,520,81
714,初級4,昼戦,328,SMG,AR-57,100,0,10,0,T外骨格,ホローポイント弾,ドットサイト,5775,519,82
714,初級4,昼戦,303,HG,HP-35,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3772,518,83
714,初級4,昼戦,20103,SMG,UMP45 Mod,200,1,10,10,専用装備,ホローポイント弾,専用装備,6900,517,84
714,初級4,昼戦,166,HG,CZ75,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3760,517,85
714,初級4,昼戦,1032,AR,メデューサ,150,1,10,0,オプティカル,高速弾,T外骨格,5914,517,86
714,初級4,昼戦,206,AR,AK-12,150,1,10,0,オプティカル,高速弾,T外骨格,5907,516,87
714,初級4,昼戦,20005,HG,M1895 Mod,100,0,10,10,専用装備,ホローポイント弾,T外骨格,3749,515,88
714,初級4,昼戦,20143,SMG,gun-10020143 Mod,100,0,10,10,T外骨格,ホローポイント弾,ドットサイト,6878,515,89
714,初級4,昼戦,4,HG,パイソン,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3739,514,90
714,初級4,昼戦,260,HG,PA-15,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3745,514,91
714,初級4,昼戦,73,AR,AUG,150,1,10,0,オプティカル,高速弾,T外骨格,5867,513,92
714,初級4,昼戦,205,AR,AN-94,150,1,10,0,オプティカル,高速弾,T外骨格,5867,513,93
714,初級4,昼戦,96,HG,グリズリー,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3737,513,94
714,初級4,昼戦,20104,SMG,gun-10020104 Mod,100,0,10,10,T外骨格,ホローポイント弾,ドットサイト,6844,513,95
714,初級4,昼戦,285,HG,C-93,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3732,513,96
714,初級4,昼戦,233,HG,Px4 ストーム,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3726,512,97
714,初級4,昼戦,272,HG,デザートイーグル,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3724,512,98
714,初級4,昼戦,318,AR,VHS,150,1,10,0,オプティカル,高速弾,T外骨格,5840,511,99
714,初級4,昼戦,20029,SMG,ステンMK-II Mod,200,1,10,10,T外骨格,ホローポイント弾,専用装備,6809,510,100
714,初級4,昼戦,20002,HG,M1911 Mod,100,0,10,10,サイレンサー,専用装備,T外骨格,3711,510,101
714,初級4,昼戦,1006,HG,テレサ,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3705,509,102
714,初級4,昼戦,27,SMG,スコーピオン,150,1,10,0,T外骨格,専用装備,ドットサイト,5653,508,103
714,初級4,昼戦,274,AR,ACR,150,1,10,0,オプティカル,高速弾,T外骨格,5816,508,104
714,初級4,昼戦,215,AR,MDR,100,0,10,0,専用装備,高速弾,T外骨格,5811,508,105
714,初級4,昼戦,1001,HG,ノエル,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3700,508,106
714,初級4,昼戦,1009,HG,エル・クレア,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3694,507,107
714,初級4,昼戦,1010,HG,エル・フェイル,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3694,507,108
714,初級4,昼戦,20064,AR,Gr G36 Mod,100,0,10,10,専用装備,高速弾,T外骨格,5802,507,109
714,初級4,昼戦,293,AR,AK-15,150,1,10,0,オプティカル,高速弾,T外骨格,5783,506,110
714,初級4,昼戦,243,AR,64式自,150,1,10,0,オプティカル,高速弾,T外骨格,5773,505,111
714,初級4,昼戦,142,HG,Five-seven,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3674,505,112
714,初級4,昼戦,306,AR,AK-Alfa,150,1,10,0,オプティカル,高速弾,T外骨格,5771,504,113
714,初級4,昼戦,1003,HG,キアナ,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3666,504,114
714,初級4,昼戦,20136,SMG,gun-10020136 Mod,200,1,10,10,T外骨格,ホローポイント弾,ドットサイト,6717,503,115
714,初級4,昼戦,289,AR,R5,150,1,10,0,オプティカル,高速弾,T外骨格,5756,503,116
714,初級4,昼戦,342,AR,gun-10000342,150,1,10,0,オプティカル,高速弾,T外骨格,5756,503,117
714,初級4,昼戦,236,AR,K11,150,1,10,0,オプティカル,高速弾,T外骨格,5733,501,118
714,初級4,昼戦,20091,HG,MP-446 Mod,100,0,10,10,サイレンサー,ホローポイント弾,X外骨格,3645,501,119
714,初級4,昼戦,166,HG,CZ75,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3645,501,120
714,初級4,昼戦,1032,AR,メデューサ,100,0,10,0,オプティカル,高速弾,T外骨格,5730,501,121
714,初級4,昼戦,20061,AR,StG44 Mod,200,1,10,10,オプティカル,高速弾,T外骨格,5720,500,122
714,初級4,昼戦,313,AR,S-ACR,150,1,10,0,オプティカル,高速弾,T外骨格,5717,500,123
714,初級4,昼戦,290,AR,89式,150,1,10,0,オプティカル,高速弾,T外骨格,5712,499,124
714,初級4,昼戦,206,AR,AK-12,100,0,10,0,オプティカル,高速弾,T外骨格,5708,499,125
714,初級4,昼戦,338,AR,SIG MCX,150,1,10,0,オプティカル,高速弾,T外骨格,5700,498,126
714,初級4,昼戦,1006,HG,テレサ,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3623,498,127
714,初級4,昼戦,99,HG,Gr Mk23,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3617,497,128
714,初級4,昼戦,20171,AR,gun-10020171 Mod,100,0,10,10,オプティカル,高速弾,T外骨格,5685,497,129
714,初級4,昼戦,205,AR,AN-94,100,0,10,0,オプティカル,高速弾,T外骨格,5688,497,130
714,初級4,昼戦,27,SMG,スコーピオン,100,0,10,0,T外骨格,専用装備,ドットサイト,5522,496,131
714,初級4,昼戦,73,AR,AUG,100,0,10,0,オプティカル,高速弾,T外骨格,5679,496,132
714,初級4,昼戦,20071,AR,gun-10020071 Mod,200,1,10,10,オプティカル,高速弾,T外骨格,5658,495,133
714,初級4,昼戦,228,SMG,一〇〇式,150,1,10,0,T外骨格,ホローポイント弾,専用装備,6605,495,134
714,初級4,昼戦,269,HG,Gr P30,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3600,495,135
714,初級4,昼戦,20060,AR,AS Val Mod,100,0,10,10,オプティカル,高速弾,T外骨格,5667,495,136
714,初級4,昼戦,318,AR,VHS,100,0,10,0,オプティカル,高速弾,T外骨格,5651,494,137
714,初級4,昼戦,3,HG,M9,150,1,10,0,専用装備,ホローポイント弾,T外骨格,3591,493,138
714,初級4,昼戦,332,HG,デリンジャー,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3590,493,139
714,初級4,昼戦,341,SMG,gun-10000341,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6583,493,140
714,初級4,昼戦,1009,HG,エル・クレア,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3586,493,141
714,初級4,昼戦,1010,HG,エル・フェイル,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3586,493,142
714,初級4,昼戦,202,HG,Thunder,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3579,492,143
714,初級4,昼戦,274,AR,ACR,100,0,10,0,オプティカル,高速弾,T外骨格,5624,492,144
714,初級4,昼戦,20031,SMG,M38 Mod,200,1,10,10,T外骨格,ホローポイント弾,ドットサイト,6553,491,145
714,初級4,昼戦,129,AR,95式,150,1,10,0,専用装備,高速弾,T外骨格,5622,491,146
714,初級4,昼戦,130,AR,97式,150,1,10,0,専用装備,高速弾,T外骨格,5614,491,147
714,初級4,昼戦,138,AR,6P62,150,1,10,0,オプティカル,徹甲弾,T外骨格,5620,491,148
714,初級4,昼戦,212,HG,K5,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3576,491,149
714,初級4,昼戦,1023,SMG,ヘンリエッタ,150,1,10,0,T外骨格,ホローポイント弾,専用装備,6557,491,150
714,初級4,昼戦,100,HG,P7,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3567,490,151
714,初級4,昼戦,20178,SMG,gun-10020178 Mod,200,1,10,10,T外骨格,ホローポイント弾,ドットサイト,6541,490,152
714,初級4,昼戦,20103,SMG,UMP45 Mod,100,0,10,10,専用装備,ホローポイント弾,専用装備,6537,490,153
714,初級4,昼戦,243,AR,64式自,100,0,10,0,オプティカル,高速弾,T外骨格,5610,490,154
714,初級4,昼戦,20032,SMG,Micro Uzi Mod,200,1,10,10,T外骨格,ホローポイント弾,ドットサイト,6532,489,155
714,初級4,昼戦,194,AR,K2,150,1,10,0,オプティカル,高速弾,T外骨格,5599,489,156
714,初級4,昼戦,214,AR,ADS,150,1,10,0,オプティカル,高速弾,T外骨格,5591,489,157
714,初級4,昼戦,245,SMG,P90,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6533,489,158
714,初級4,昼戦,310,HG,Rex Zero 1,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3557,489,159
714,初級4,昼戦,168,HG,Spitfire,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3556,488,160
714,初級4,昼戦,172,AR,Am RFB,150,1,10,0,専用装備,高速弾,T外骨格,5585,488,161
714,初級4,昼戦,331,HG,コリブリ,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3555,488,162
714,初級4,昼戦,346,HG,gun-10000346,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3552,488,163
714,初級4,昼戦,293,AR,AK-15,100,0,10,0,オプティカル,高速弾,T外骨格,5580,488,164
714,初級4,昼戦,1003,HG,キアナ,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3550,488,165
714,初級4,昼戦,289,AR,R5,100,0,10,0,オプティカル,高速弾,T外骨格,5569,487,166
714,初級4,昼戦,306,AR,AK-Alfa,100,0,10,0,オプティカル,高速弾,T外骨格,5571,487,167
714,初級4,昼戦,16,SMG,トンプソン,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6481,486,168
714,初級4,昼戦,98,HG,SPP-1,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3541,486,169
714,初級4,昼戦,99,HG,Gr Mk23,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3539,486,170
714,初級4,昼戦,313,AR,S-ACR,100,0,10,0,オプティカル,高速弾,T外骨格,5561,486,171
714,初級4,昼戦,342,AR,gun-10000342,100,0,10,0,オプティカル,高速弾,T外骨格,5563,486,172
714,初級4,昼戦,6,HG,トカレフ,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3530,485,173
714,初級4,昼戦,127,SMG,79式,150,1,10,0,T外骨格,専用装備,ドットサイト,6471,485,174
714,初級4,昼戦,244,HG,TEC-9,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3531,485,175
714,初級4,昼戦,228,SMG,一〇〇式,100,0,10,0,T外骨格,ホローポイント弾,専用装備,6468,485,176
714,初級4,昼戦,236,AR,K11,100,0,10,0,オプティカル,高速弾,T外骨格,5545,485,177
714,初級4,昼戦,338,AR,SIG MCX,100,0,10,0,オプティカル,高速弾,T外骨格,5547,485,178
714,初級4,昼戦,20029,SMG,ステンMK-II Mod,100,0,10,10,T外骨格,ホローポイント弾,専用装備,6465,484,179
714,初級4,昼戦,290,AR,89式,100,0,10,0,オプティカル,高速弾,T外骨格,5533,484,180
714,初級4,昼戦,3,HG,M9,100,0,10,0,専用装備,ホローポイント弾,T外骨格,3518,483,181
714,初級4,昼戦,341,SMG,gun-10000341,100,0,10,0,T外骨格,ホローポイント弾,ドットサイト,6450,483,182
714,初級4,昼戦,140,HG,PSM,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3508,482,183
714,初級4,昼戦,340,AR,TKB-408,150,1,10,0,オプティカル,高速弾,T外骨格,5509,482,184
714,初級4,昼戦,106,AR,FAL,150,1,10,0,オプティカル,高速弾,T外骨格,5507,481,185
714,初級4,昼戦,181,AR,T91,150,1,10,0,オプティカル,高速弾,T外骨格,5498,481,186
714,初級4,昼戦,248,HG,ジェリコ,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3505,481,187
714,初級4,昼戦,196,AR,Zas M21,150,1,10,0,オプティカル,高速弾,T外骨格,5493,480,188
714,初級4,昼戦,232,HG,MP-448,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3491,480,189
714,初級4,昼戦,202,HG,Thunder,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3492,480,190
714,初級4,昼戦,269,HG,Gr P30,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3498,480,191
714,初級4,昼戦,20136,SMG,gun-10020136 Mod,100,0,10,10,T外骨格,ホローポイント弾,ドットサイト,6387,479,192
714,初級4,昼戦,212,HG,K5,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3487,479,193
714,初級4,昼戦,1023,SMG,ヘンリエッタ,100,0,10,0,T外骨格,ホローポイント弾,専用装備,6395,479,194
714,初級4,昼戦,20063,AR,Gr G3 Mod,200,1,10,10,オプティカル,高速弾,T外骨格,5464,478,195
714,初級4,昼戦,287,AR,SIG-556,150,1,10,0,オプティカル,高速弾,T外骨格,5463,478,196
714,初級4,昼戦,311,SMG,Lusa,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6374,478,197
714,初級4,昼戦,245,SMG,P90,100,0,10,0,T外骨格,ホローポイント弾,ドットサイト,6382,478,198
714,初級4,昼戦,332,HG,デリンジャー,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3481,478,199
714,初級4,昼戦,138,AR,6P62,100,0,10,0,オプティカル,徹甲弾,T外骨格,5460,477,200
714,初級4,昼戦,346,HG,gun-10000346,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3470,477,201
714,初級4,昼戦,113,HG,セルジュコフ,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3464,476,202
714,初級4,昼戦,1029,AR,エージェント416,150,1,10,0,オプティカル,高速弾,T外骨格,5445,476,203
714,初級4,昼戦,129,AR,95式,100,0,10,0,専用装備,高速弾,T外骨格,5443,476,204
714,初級4,昼戦,194,AR,K2,100,0,10,0,オプティカル,高速弾,T外骨格,5446,476,205
714,初級4,昼戦,214,AR,ADS,100,0,10,0,オプティカル,高速弾,T外骨格,5441,476,206
714,初級4,昼戦,100,HG,P7,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3460,475,207
714,初級4,昼戦,130,AR,97式,100,0,10,0,専用装備,高速弾,T外骨格,5433,475,208
714,初級4,昼戦,172,AR,Am RFB,100,0,10,0,専用装備,高速弾,T外骨格,5432,475,209
714,初級4,昼戦,244,HG,TEC-9,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3455,475,210
714,初級4,昼戦,331,HG,コリブリ,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3461,475,211
714,初級4,昼戦,14,HG,アストラ,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3452,474,212
714,初級4,昼戦,322,HG,QSB-91,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3449,474,213
714,初級4,昼戦,119,AR,OTs-14,150,1,10,0,オプティカル,高速弾,T外骨格,5415,473,214
714,初級4,昼戦,309,HG,WKp,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3446,473,215
714,初級4,昼戦,315,SMG,AUG Para,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6310,473,216
714,初級4,昼戦,16,SMG,トンプソン,100,0,10,0,T外骨格,ホローポイント弾,ドットサイト,6315,473,217
714,初級4,昼戦,98,HG,SPP-1,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3443,473,218
714,初級4,昼戦,127,SMG,79式,100,0,10,0,T外骨格,専用装備,ドットサイト,6319,473,219
714,初級4,昼戦,168,HG,Spitfire,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3441,473,220
714,初級4,昼戦,310,HG,Rex Zero 1,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3445,473,221
714,初級4,昼戦,132,HG,59式,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3438,472,222
714,初級4,昼戦,167,HG,Gr HK45,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3435,472,223
714,初級4,昼戦,193,AR,T65,150,1,10,0,オプティカル,高速弾,T外骨格,5398,472,224
714,初級4,昼戦,259,SMG,PM-9,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6306,472,225
714,初級4,昼戦,6,HG,トカレフ,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3438,472,226
714,初級4,昼戦,15,HG,G17,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3427,471,227
714,初級4,昼戦,123,HG,P99,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3427,471,228
714,初級4,昼戦,20061,AR,StG44 Mod,100,0,10,10,オプティカル,高速弾,T外骨格,5389,471,229
714,初級4,昼戦,20031,SMG,M38 Mod,100,0,10,10,T外骨格,ホローポイント弾,ドットサイト,6279,470,230
714,初級4,昼戦,175,AR,ART556,150,1,10,0,オプティカル,高速弾,T外骨格,5370,469,231
714,初級4,昼戦,210,HG,CZ52,150,1,10,0,サイレンサー,ホローポイント弾,T外骨格,3415,469,232
714,初級4,昼戦,1030,SMG,邪神ちゃん,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6261,469,233
714,初級4,昼戦,140,HG,PSM,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3418,469,234
714,初級4,昼戦,20178,SMG,gun-10020178 Mod,100,0,10,10,T外骨格,ホローポイント弾,ドットサイト,6259,469,235
714,初級4,昼戦,277,HG,Gr VP70,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3407,468,236
714,初級4,昼戦,20032,SMG,Micro Uzi Mod,100,0,10,10,T外骨格,ホローポイント弾,ドットサイト,6250,468,237
714,初級4,昼戦,232,HG,MP-448,100,0,10,0,サイレンサー,ホローポイント弾,X外骨格,3406,468,238
714,初級4,昼戦,248,HG,ジェリコ,100,0,10,0,サイレンサー,ホローポイント弾,T外骨格,3409,468,239
