地区ID,地区名,戦闘形式,人形ID,種類,人形,レベル,改造,リンク数,最大HP,会心率,会心ダメージ,破甲,火力,命中,回避,射速,防御,弾薬数,修理,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測 (1-Fairy),ダメージ予測 (2-Fairy),ダメージ予測 (3-Fairy),ダメージ予測 (4-Fairy),順位
714,初級4,昼戦,20007,HG,スチェッキン Mod,117,3,5,425,70%,150%,8,51,79,99,66,0,0,0,200,1,10,10,レッドサイト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4252,584,701,818,935,11
714,初級4,昼戦,20097,HG,M950A Mod,115,3,5,400,40%,150%,8,49,60,120,72,0,0,0,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),4202,577,693,808,924,12
714,初級4,昼戦,213,SMG,C-MS,100,0,5,925,5%,100%,195,49,46,79,111,0,0,0,100,0,10,0,チップ (5-Star),徹甲弾 (5-Star),ドットサイト (5-Star),7650,573,688,803,918,13
714,初級4,昼戦,330,AR,FX-05,100,0,5,550,20%,100%,15,100,72,50,90,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5465,573,688,803,918,14
714,初級4,昼戦,20171,AR,リベロール Mod,115,3,5,590,20%,100%,15,114,81,44,93,0,0,0,100,0,10,10,専用装備 (5-Star),高速弾 (5-Star),チップ (5-Star),6444,563,676,789,902,15
714,初級4,昼戦,54,AR,M16A1,100,0,5,605,20%,150%,15,72,31,57,65,31,0,0,150,1,10,0,高速弾 (5-Star),防弾ベスト (5-Star),専用装備 (5-Star),6393,559,671,783,895,16
714,初級4,昼戦,20064,AR,Gr G36 Mod,120,3,5,650,20%,100%,15,102,70,52,97,0,0,0,200,1,10,10,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6297,550,661,771,881,17
714,初級4,昼戦,20060,AR,AS Val Mod,118,3,5,675,20%,100%,15,96,73,59,97,0,0,0,200,1,10,10,ホロサイト (5-Star),専用装備 (5-Star),チップ (5-Star),6292,550,660,770,880,18
714,初級4,昼戦,356,AR,A-545,100,0,5,550,20%,100%,15,104,73,54,103,0,0,0,150,1,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6248,546,656,765,874,19
714,初級4,昼戦,205,AR,AN-94,100,0,5,580,20%,100%,15,104,88,53,97,0,0,0,150,1,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6225,544,653,762,871,20
714,初級4,昼戦,115,SMG,スオミ,100,0,5,1100,5%,150%,8,39,46,106,92,0,0,0,100,0,10,0,専用装備 (5-Star),ホローポイント弾 (5-Star),ドットサイト (5-Star),6019,541,650,758,866,21
714,初級4,昼戦,62,AR,Gr G41,100,0,5,635,68%,150%,15,98,61,62,77,0,0,0,100,0,10,0,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),6163,539,647,754,862,22
714,初級4,昼戦,206,AR,AK-12,100,0,5,550,20%,100%,15,102,80,55,99,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6107,534,641,748,854,23
714,初級4,昼戦,118,AR,9A-91,100,0,5,580,68%,150%,15,80,52,53,103,0,0,0,100,0,10,0,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),6060,530,636,742,848,24
714,初級4,昼戦,20220,HG,MP-443 Mod,115,3,5,390,50%,150%,8,51,78,107,60,0,0,0,100,0,10,10,レッドサイト (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3858,530,636,742,848,25
714,初級4,昼戦,1032,AR,メデューサ,100,0,5,605,30%,100%,15,107,74,50,94,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),専用装備 (5-Star),6059,530,636,742,848,26
714,初級4,昼戦,1027,AR,アンジェリカ,100,0,5,605,78%,150%,15,93,60,69,75,0,0,0,100,0,10,0,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),6031,527,633,738,844,27
714,初級4,昼戦,318,AR,VHS,100,0,5,580,20%,100%,15,103,71,50,99,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6026,527,632,738,843,28
714,初級4,昼戦,20143,SMG,RO635 Mod,119,3,5,1040,5%,100%,8,64,48,88,121,0,0,0,200,1,10,10,チップ (5-Star),ホローポイント弾 (5-Star),ドットサイト (5-Star),7010,525,630,736,841,29
714,初級4,昼戦,10,HG,PPK,100,0,5,285,50%,150%,8,42,62,143,63,0,0,0,100,0,10,0,専用装備 (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3188,526,631,736,841,30
714,初級4,昼戦,20001,HG,コルトSAA Mod,120,3,5,415,40%,150%,8,51,54,129,50,0,0,0,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3816,524,629,734,839,31
714,初級4,昼戦,293,AR,AK-15,100,0,5,550,20%,100%,15,96,85,54,101,0,0,0,100,0,10,0,ドットサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5994,524,629,734,839,32
714,初級4,昼戦,20032,SMG,Micro Uzi Mod,115,3,5,880,5%,100%,8,69,51,95,128,0,0,0,200,1,10,10,チップ (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),6982,523,628,733,837,33
714,初級4,昼戦,242,HG,P22,100,0,5,350,45%,150%,8,45,70,156,62,0,0,0,100,0,10,0,専用装備 (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3802,522,627,731,836,34
714,初級4,昼戦,313,AR,S-ACR,100,0,5,620,20%,100%,15,92,62,45,112,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5959,521,625,729,834,35
714,初級4,昼戦,20026,SMG,Gr MP5 Mod,120,3,5,905,5%,150%,8,56,32,155,90,0,0,0,200,1,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),6932,519,623,727,831,36
714,初級4,昼戦,338,AR,SIG MCX,100,0,5,580,20%,100%,15,95,74,49,104,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5941,519,623,727,831,37
714,初級4,昼戦,306,AR,AK-Alfa,100,0,5,580,20%,100%,15,102,70,55,96,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5929,518,622,726,830,38
714,初級4,昼戦,243,AR,64式自,100,0,5,625,20%,100%,15,106,66,54,88,0,0,0,100,0,10,0,SFライト (5-Star),高速弾 (5-Star),チップ (5-Star),5923,518,621,725,829,39
714,初級4,昼戦,73,AR,AUG,100,0,5,605,30%,100%,15,101,74,49,96,0,0,0,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5909,517,620,723,827,40
714,初級4,昼戦,290,AR,89式,100,0,5,605,20%,100%,15,92,81,48,103,0,0,0,100,0,10,0,ドットサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5903,516,619,723,826,41
714,初級4,昼戦,274,AR,ACR,100,0,5,580,30%,100%,15,92,87,51,101,0,0,0,100,0,10,0,ドットサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5878,514,617,720,822,42
714,初級4,昼戦,106,AR,FAL,100,0,5,660,20%,100%,15,98,78,42,96,0,0,0,150,1,10,0,ドットサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5846,511,613,716,818,43
714,初級4,昼戦,20104,SMG,Gr G36c Mod,115,3,5,1080,5%,150%,8,53,46,117,84,0,0,0,150,1,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),ドットサイト (5-Star),6813,510,613,715,817,44
714,初級4,昼戦,328,SMG,AR-57,100,0,5,915,5%,100%,8,58,45,78,116,0,0,0,100,0,10,0,チップ (5-Star),ホローポイント弾 (5-Star),ドットサイト (5-Star),5668,510,612,714,816,45
714,初級4,昼戦,96,HG,グリズリー,100,0,5,430,50%,150%,8,55,74,100,54,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),3698,508,610,711,813,46
714,初級4,昼戦,233,HG,Px4 ストーム,100,0,5,340,40%,150%,8,52,73,143,57,0,0,0,100,0,10,0,専用装備 (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3699,508,610,712,813,47
714,初級4,昼戦,126,HG,NZ75,100,0,5,365,50%,150%,8,50,66,118,63,0,0,0,100,0,10,0,専用装備 (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3695,508,609,711,812,48
714,初級4,昼戦,215,AR,MDR,100,0,5,595,20%,100%,15,94,83,44,100,0,0,0,100,0,10,0,ドットサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5805,507,609,711,812,49
714,初級4,昼戦,294,HG,ウェブリー,100,0,5,430,20%,150%,8,40,70,129,57,0,0,0,100,0,10,0,SFライト (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3691,507,609,710,812,50
714,初級4,昼戦,250,HG,HS2000,100,0,5,360,50%,150%,8,50,85,112,62,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3688,507,608,709,811,51
714,初級4,昼戦,260,HG,PA-15,100,0,5,350,50%,150%,8,52,89,100,64,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3673,505,606,707,808,52
714,初級4,昼戦,272,HG,デザートイーグル,100,0,5,365,70%,150%,8,59,80,90,55,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3673,505,606,707,808,53
714,初級4,昼戦,285,HG,C-93,100,0,5,315,50%,150%,8,50,86,123,64,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),3663,503,604,705,805,54
714,初級4,昼戦,1018,HG,セイ・P・アサギリ,100,0,5,425,20%,150%,8,47,62,123,53,0,0,0,100,0,10,0,SFライト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),3654,502,602,703,803,55
714,初級4,昼戦,1017,HG,ジル・スティングレイ,100,0,5,400,20%,150%,8,41,56,144,55,0,0,0,100,0,10,0,SFライト (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3649,501,602,702,802,56
714,初級4,昼戦,27,SMG,スコーピオン,100,0,5,795,5%,100%,8,61,44,88,115,0,0,0,100,0,10,0,チップ (5-Star),専用装備 (5-Star),ドットサイト (5-Star),5560,500,600,700,800,57
714,初級4,昼戦,303,HG,HP-35,100,0,5,380,50%,150%,8,42,88,129,58,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3607,495,595,694,793,58
714,初級4,昼戦,4,HG,パイソン,100,0,5,350,70%,150%,8,51,106,122,49,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3592,493,592,691,790,59
714,初級4,昼戦,1029,AR,エージェント416,100,0,5,605,20%,100%,15,89,79,47,100,0,0,0,100,0,10,0,ドットサイト (5-Star),専用装備 (5-Star),チップ (5-Star),5637,493,591,690,789,60
714,初級4,昼戦,20101,SMG,UMP9 Mod,115,3,5,900,5%,175%,8,56,33,138,87,0,0,0,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),6500,487,585,682,780,61
714,初級4,昼戦,142,HG,Five-seven,100,0,5,315,50%,150%,8,42,80,137,66,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3546,487,585,682,780,62
714,初級4,昼戦,20002,HG,M1911 Mod,116,3,5,375,50%,150%,8,41,74,116,58,0,0,0,100,0,10,10,レッドサイト (5-Star),専用装備 (5-Star),T外骨格 (5-Star),3543,487,584,682,779,63
714,初級4,昼戦,166,HG,CZ75,100,0,5,330,50%,150%,8,45,86,113,66,0,0,0,100,0,10,0,レッドサイト (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3528,485,582,679,776,64
714,初級4,昼戦,20005,HG,M1895 Mod,118,3,5,355,40%,150%,8,46,55,154,45,0,0,0,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),3531,485,582,679,776,65
714,初級4,昼戦,20029,SMG,ステンMK-II Mod,115,3,5,970,25%,150%,15,28,20,140,85,0,0,0,200,1,10,10,T外骨格 (5-Star),信号弾 (5-Star),専用装備 (5-Star),6127,459,551,643,735,66
714,初級4,昼戦,20103,SMG,UMP45 Mod,120,3,5,975,30%,150%,15,28,17,139,82,0,0,0,200,1,10,10,T外骨格 (5-Star),信号弾 (5-Star),専用装備 (5-Star),6110,458,549,641,733,67
714,初級4,昼戦,127,SMG,79式,100,0,5,970,5%,150%,15,53,43,109,83,0,0,0,100,0,10,0,T外骨格 (5-Star),専用装備 (5-Star),ドットサイト (5-Star),5920,444,532,621,710,68
714,初級4,昼戦,202,HG,Thunder,100,0,5,430,60%,150%,15,43,60,108,36,0,0,0,100,0,10,0,サイレンサー (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3224,443,531,620,709,69
714,初級4,昼戦,228,SMG,一〇〇式,100,0,5,1060,25%,150%,15,25,15,131,75,0,0,0,100,0,10,0,T外骨格 (5-Star),信号弾 (5-Star),専用装備 (5-Star),5895,442,530,618,707,70
714,初級4,昼戦,99,HG,Gr Mk23,100,0,5,400,20%,150%,15,25,56,125,62,0,0,0,100,0,10,0,専用装備 (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3202,440,528,616,704,71
714,初級4,昼戦,20136,SMG,PP-19 Mod,115,3,5,945,5%,150%,15,27,15,138,90,0,0,0,100,0,10,10,T外骨格 (5-Star),信号弾 (5-Star),専用装備 (5-Star),5872,440,528,616,704,72
714,初級4,昼戦,1009,HG,エル・クレア,100,0,5,330,50%,150%,15,27,86,128,60,0,0,0,100,0,10,0,レッドサイト (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3201,440,528,616,704,73
714,初級4,昼戦,1010,HG,エル・フェイル,100,0,5,330,50%,150%,15,27,86,128,60,0,0,0,100,0,10,0,レッドサイト (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3201,440,528,616,704,74
714,初級4,昼戦,16,SMG,トンプソン,100,0,5,1190,25%,150%,15,25,13,109,81,0,0,0,100,0,10,0,専用装備 (5-Star),信号弾 (5-Star),サイレンサー (5-Star),5771,432,519,605,692,75
714,初級4,昼戦,135,SMG,SR-3MP,100,0,5,970,5%,150%,15,37,33,116,89,0,0,0,100,0,10,0,T外骨格 (5-Star),信号弾 (5-Star),専用装備 (5-Star),5766,432,518,605,691,76
714,初級4,昼戦,3,HG,M9,100,0,5,380,40%,150%,15,25,62,125,60,0,0,0,100,0,10,0,専用装備 (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3142,432,518,604,691,77
714,初級4,昼戦,1023,SMG,ヘンリエッタ,100,0,5,950,30%,150%,15,26,21,133,92,0,0,0,100,0,10,0,T外骨格 (5-Star),信号弾 (5-Star),専用装備 (5-Star),5757,431,518,604,690,78
714,初級4,昼戦,98,HG,SPP-1,100,0,5,380,40%,150%,15,31,65,124,47,0,0,0,100,0,10,0,サイレンサー (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3134,430,517,603,689,79
714,初級4,昼戦,341,SMG,SP9,100,0,5,1100,25%,150%,15,24,14,118,89,0,0,0,100,0,10,0,T外骨格 (5-Star),-,サイレンサー (5-Star),5598,419,503,587,671,80
714,初級4,昼戦,20125,MG,Gr MG4 Mod,115,3,5,925,40%,150%,615,96,75,35,139,0,15,0,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),16641,416,499,582,665,81
714,初級4,昼戦,1019,SMG,ドロシー・ヘイズ,100,0,5,880,25%,150%,8,46,16,137,79,0,0,0,100,0,10,0,T外骨格 (5-Star),専用装備 (5-Star),サイレンサー (5-Star),5501,412,495,577,660,82
714,初級4,昼戦,245,SMG,P90,100,0,5,950,25%,150%,15,26,16,133,93,0,0,0,100,0,10,0,T外骨格 (5-Star),-,サイレンサー (5-Star),5490,411,494,576,658,83
714,初級4,昼戦,1039,AR,紺野純子,93,0,5,535,68%,185%,15,75,54,47,62,0,1,0,100,0,10,0,オプティカル (5-Star),-,専用装備 (5-Star),4594,401,482,562,643,84
714,初級4,昼戦,236,AR,K11,100,0,5,675,68%,180%,15,66,57,39,66,0,0,0,100,0,10,0,オプティカル (5-Star),-,集中チップ (5-Star),4583,401,481,561,641,85
714,初級4,昼戦,203,SMG,Honey Badger,100,0,5,990,25%,150%,15,50,14,108,82,0,0,0,100,0,10,0,専用装備 (5-Star),-,サイレンサー (5-Star),5281,396,475,554,633,86
714,初級4,昼戦,1028,SMG,エージェントVector,100,0,5,925,25%,150%,8,41,12,120,101,0,0,0,100,0,10,0,専用装備 (5-Star),専用装備 (5-Star),サイレンサー (5-Star),5258,394,473,552,630,87
714,初級4,昼戦,20053,RF,NTW-20 Mod,120,3,5,475,88%,175%,195,206,95,36,32,0,0,0,200,1,10,10,専用装備 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),7656,382,459,535,612,88
714,初級4,昼戦,20252,RF,KSVK Mod,120,3,5,455,88%,175%,195,200,101,36,32,0,0,0,200,1,10,10,専用装備 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),7499,374,449,524,599,89
714,初級4,昼戦,20037,RF,M14 Mod,120,3,5,430,88%,175%,195,128,96,33,44,0,0,0,200,1,10,10,徹甲弾 (5-Star),専用装備 (5-Star),カモフラージュマント (5-Star),7317,365,439,512,585,90
714,初級4,昼戦,261,RF,QBU-88,100,0,5,420,88%,175%,195,133,92,44,42,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),7096,354,425,496,567,91
714,初級4,昼戦,1024,RF,リコ,100,0,5,400,88%,195%,195,143,88,37,37,0,0,0,150,1,10,0,徹甲弾 (5-Star),オプティカル (5-Star),専用装備 (5-Star),7063,353,423,494,565,92
714,初級4,昼戦,48,RF,WA2000,100,0,5,440,90%,175%,195,148,91,33,39,0,0,0,150,1,10,0,徹甲弾 (5-Star),専用装備 (5-Star),カモフラージュマント (5-Star),7044,352,422,493,563,93
714,初級4,昼戦,20095,RF,漢陽88式 Mod,120,3,5,520,90%,175%,195,146,80,45,37,0,0,0,200,1,10,10,専用装備 (5-Star),専用装備 (5-Star),カモフラージュマント (5-Star),7027,351,421,491,562,94
714,初級4,昼戦,316,RF,劉氏歩槍,100,0,5,400,88%,175%,195,146,93,32,40,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),7027,351,421,491,562,95
714,初級4,昼戦,20039,RF,モシン・ナガン Mod,116,3,5,450,90%,180%,195,172,99,47,31,0,0,0,100,0,10,10,徹甲弾 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7012,350,420,490,560,96
714,初級4,昼戦,36,RF,スプリングフィールド,100,0,5,420,88%,175%,210,135,76,42,42,0,0,0,100,0,10,0,専用装備 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6999,349,419,489,559,97
714,初級4,昼戦,50,RF,リー・エンフィールド,100,0,5,400,88%,175%,195,142,82,42,40,0,0,0,100,0,10,0,徹甲弾 (5-Star),専用装備 (5-Star),カモフラージュマント (5-Star),6880,344,412,481,550,98
714,初級4,昼戦,266,RF,R93,100,0,5,405,88%,175%,195,140,102,36,39,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6875,343,412,481,550,99
714,初級4,昼戦,1031,RF,ぺこら,100,0,5,440,88%,195%,195,133,84,42,37,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),専用装備 (5-Star),6872,343,412,481,549,100
714,初級4,昼戦,20075,MG,M1918 Mod,118,3,5,805,35%,150%,515,105,66,36,108,0,14,0,100,0,10,10,特殊貫通弾 (5-Star),専用装備 (5-Star),専用装備 (5-Star),13716,342,411,480,548,101
714,初級4,昼戦,20081,MG,LWMMG Mod,115,3,5,885,35%,150%,515,110,63,24,87,0,15,0,100,0,10,10,特殊貫通弾 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),13567,339,407,474,542,102
714,初級4,昼戦,317,RF,モンドラゴンM1908,100,0,5,420,88%,195%,195,118,78,36,41,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),専用装備 (5-Star),6767,338,406,473,541,103
714,初級4,昼戦,296,RF,Gr SL8,100,0,5,425,88%,175%,195,126,82,41,41,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6627,331,397,463,530,104
714,初級4,昼戦,1033,MG,花園ゆりね,100,0,5,910,55%,150%,515,113,37,25,123,0,15,0,150,1,10,0,特殊貫通弾 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),13263,331,397,464,530,105
714,初級4,昼戦,46,RF,Kar98k,100,0,5,420,88%,195%,195,142,82,44,34,0,0,0,100,0,10,0,徹甲弾 (5-Star),専用装備 (5-Star),カモフラージュマント (5-Star),6620,331,397,463,529,106
714,初級4,昼戦,329,RF,SVCh,100,0,5,435,88%,175%,195,152,102,32,35,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6614,330,396,462,529,107
714,初級4,昼戦,43,RF,SVD,100,0,5,400,88%,175%,195,147,88,37,37,0,0,0,150,1,10,0,専用装備 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6583,329,394,460,526,108
714,初級4,昼戦,312,RF,VSK-94,100,0,5,440,88%,175%,195,140,83,34,38,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6564,328,393,459,525,109
714,初級4,昼戦,231,RF,M82A1,100,0,5,440,88%,175%,195,166,81,32,34,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6557,327,393,458,524,110
714,初級4,昼戦,348,RF,HS.50,100,0,5,440,88%,175%,195,167,89,31,33,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6517,325,391,456,521,111
714,初級4,昼戦,257,RF,M200,100,0,5,440,88%,175%,195,153,101,33,34,0,0,0,100,0,10,0,徹甲弾 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6501,325,390,455,520,112
714,初級4,昼戦,20201,RF,ゲパード M1 Mod,115,3,5,450,88%,175%,215,171,87,31,30,0,0,0,100,0,10,10,専用装備 (5-Star),オプティカル (5-Star),カモフラージュマント (5-Star),6421,321,385,449,513,113
714,初級4,昼戦,292,MG,RPK-16,100,0,5,825,53%,150%,515,90,39,36,124,0,15,0,100,0,10,0,特殊貫通弾 (5-Star),オプティカル (5-Star),アサルトパック (5-Star),12607,315,378,441,504,114
714,初級4,昼戦,253,MG,ルイス,100,0,5,950,53%,150%,515,108,33,31,111,0,15,0,100,0,10,0,特殊貫通弾 (5-Star),オプティカル (5-Star),アサルトパック (5-Star),12546,313,376,439,501,115
714,初級4,昼戦,263,MG,Gr MG36,100,0,5,910,53%,150%,515,90,36,36,124,0,15,0,100,0,10,0,特殊貫通弾 (5-Star),オプティカル (5-Star),アサルトパック (5-Star),12454,311,373,435,498,116
714,初級4,昼戦,1034,SG,ミノス,100,0,5,1430,40%,172%,15,56,49,15,24,33,4,0,100,0,10,0,防弾ベスト (5-Star),バックショット (5-Star),専用装備 (5-Star),8029,301,361,421,481,117
714,初級4,昼戦,20161,SG,97式散 Mod,115,3,5,1345,40%,172%,15,53,24,17,28,33,8,0,100,0,10,10,専用装備 (5-Star),バックショット (5-Star),チョーク (5-Star),7883,295,354,413,472,118
714,初級4,昼戦,85,MG,PK,100,0,5,950,55%,150%,515,111,28,23,79,0,16,0,100,0,10,0,特殊貫通弾 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),11516,287,345,403,460,119
714,初級4,昼戦,1020,RF,ステラ・星井,100,0,5,450,60%,180%,135,133,89,48,38,0,0,0,100,0,10,0,狙撃弾 (5-Star),サイレンサー (5-Star),専用装備 (5-Star),5659,282,339,396,452,120
714,初級4,昼戦,163,SG,AA-12,100,0,5,1345,40%,150%,15,47,43,10,39,33,10,0,100,0,10,0,防弾ベスト (5-Star),専用装備 (5-Star),チョーク (5-Star),7430,278,334,390,445,121
714,初級4,昼戦,20159,SG,RMB-93 Mod,115,3,5,1235,40%,172%,15,50,23,15,29,35,9,0,100,0,10,10,専用装備 (5-Star),バックショット (5-Star),チョーク (5-Star),7431,278,334,390,445,122
714,初級4,昼戦,20154,SG,M500 Mod,116,3,5,1350,40%,196%,15,50,43,10,28,33,4,0,100,0,10,10,防弾ベスト (5-Star),バックショット (5-Star),専用装備 (5-Star),7390,277,332,387,443,123
714,初級4,昼戦,179,RF,Gd DSR-50,100,0,5,410,60%,150%,135,192,92,45,31,0,0,0,100,0,10,0,狙撃弾 (5-Star),サイレンサー (5-Star),測距儀 (5-Star),5535,276,332,387,442,124
