ID,図鑑番号,種類,レアリティ,装備,装備人形 ID,装備人形,火力,命中,回避,移動速度,射速,会心率,会心ダメージ,破甲,防御,シールド,被害増幅,被害軽減,暗視能力,弾薬数,装備経験値,強化レベル,EQUIP_INFO_ADJUST_MAX,校正回数,ロック
71525354,78,スラッグ弾,★★★,FSTスラッグ弾,-,-,-,3.384,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71525355,312,固定銃架,★★★,HD50銃架,-,-,-,1.6766,-,-2.8587,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71535631,37,T外骨格,★★,IOP T1外骨格,-,-,-1.6397,-,6.8398,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71535632,228,特殊貫通弾,★★★★,Mk900SLAP,-,-,-,-,-,-,-5.0000,-,-,191.150,-,-,-,-,-,-,0,0,,0,
71535633,87,カモフラージュマント,★★,ぼろぼろのマント,-,-,-,-,-,-3.0000,-,-,3.0522%,-,-,-,-,-,-,-,0,0,,0,
71535634,87,カモフラージュマント,★★,ぼろぼろのマント,-,-,-,-,-,-3.0000,-,-,3.0248%,-,-,-,-,-,-,-,0,0,,0,
71535969,11,ドットサイト,★★★★,COG M150,-,-,-,7.1266,-,-,-2.6574,-,-,-,-,-,-,-,-,-,0,0,,0,
71535970,29,高速弾,★★,FMJ高速弾,-,-,2.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,
71535971,18,徹甲弾,★★★,M993徹甲弾,-,-,-,-,-,-,-,-,-,68.4380,-,-,-,-,-,-,0,0,,0,
71535972,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,1.726,-,-,-,3.0528,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
71535973,6,ホロサイト,★★★,EOT 512,-,-,1.2382,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71535974,37,T外骨格,★★,IOP T1外骨格,-,-,-1.6274,-,6.7904,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71535975,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,1.1454,-,-,-,3.7542,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
71535976,9,ドットサイト,★★,AMP COMPM2,-,-,-,2.3329,-,-,-1.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71535977,15,暗視装備,★★★★,PEQ-15,331319982,M4 SOPMOD II Mod,-,-,-,-,-,-,-,-,-,-,-,-,82.8571%,-,0,0,,0,
71535978,14,暗視装備,★★★,PEQ-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.4884%,-,0,0,,0,
71535979,3,オプティカル,★★★★,PSO-1,-,-,-,-,-,-,-,13.8418%,-,-,-,-,-,-,-,-,0,0,,0,
71535980,5,ホロサイト,★★,EOT 506,-,-,1.000,1.0000,-,-,-1.0000,-,-,-,-,-,-,-,-,-,0,0,MAX,0,
