ID,名称,番号
item-601,ランダム染色剤,116
item-602,カラー指定染色剤,6
item-603,模擬作戦基礎PE,12
item-604,電子パルス,8
item-605,協力委託書,156
item-606,転移触媒,1050
item-1001,AAT-52アイコン,1
item-1002,G43アイコン,1
item-1003,IDWアイコン,1
item-1004,L85A1アイコン,1
item-1005,M1911アイコン,1
item-1006,PPSh-41アイコン,1
item-1007,M38アイコン,1
item-1008,AK-47アイコン,1
item-1009,G17アイコン,1
item-1010,マカロフアイコン,1
item-1011,スコーピオンアイコン,1
item-1013,ST AR-15アイコン,1
item-1014,M1918アイコン,1
item-1015,Gr MP5アイコン,1
item-1016,PTRDアイコン,1
item-1017,UMP9アイコン,1
item-1018,Gr G11アイコン,1
item-1019,OTs-14アイコン,1
item-1020,スオミアイコン,1
item-1024,M4 SOPMOD-II,1
item-1031,ブレンアイコン,1
item-1032,FMG-9アイコン,1
item-1033,KS-23アイコン,1
item-1034,M9アイコン,1
item-1035,M1919アイコン,1
item-1036,イングラムアイコン,1
item-1037,Micro Uziアイコン,1
item-1038,OTs-12アイコン,1
item-1039,PPS-43アイコン,1
item-1040,RMB-93アイコン,1
item-1041,ステンMK-IIアイコン,1
item-1042,SV-98アイコン,1
item-1043,Gr G36アイコン,1
item-1044,コルトSAAアイコン,1
item-1045,SPAS-12アイコン,1
item-1046,SVDアイコン,1
item-1047,UMP45アイコン,1
item-1049,M99アイコン,1
item-1050,RO635アイコン,1
item-1058,FF FNP9アイコン,1
item-1059,Gr G3アイコン,1
item-1060,LWMMGアイコン,1
item-1061,M3アイコン,1
item-1062,M1895アイコン,1
item-1063,スペクトラM4アイコン,1
item-1064,SVT-38アイコン,1
item-1065,M1ガーランドアイコン,1
item-1066,M2HBアイコン,1
item-1067,M21アイコン,1
item-1068,StG 44アイコン,1
item-1069,トカレフアイコン,1
item-1070,AS Valアイコン,1
item-1071,M60アイコン,1
item-1072,Gr Mk23アイコン,1
item-1073,スプリングフィールドアイコン,1
item-1074,スチェッキンアイコン,1
item-1075,Kar98kアイコン,1
item-1076,M950Aアイコン,1
item-1077,トンプソンアイコン,1
item-1083,臨時作戦室,1
item-1085,路地裏の落書き,1
item-1086,懐かしき風景,1
item-1172,アイコン：引き込もりゾンビ,1
item-1212,アイコン：スノウエルフ,1
item-1213,背景：聖夜の一角,1
item-1226,IDカード背景：クリスマスの約束,1
item-1228,アイコン：オフィシャル四コマVOL.1,1
item-1229,アイコン：オフィシャル四コマVOL.2,1
item-1230,アイコン：オフィシャル四コマVOL.3,1
item-1237,アイコン：再会,1
item-1238,IDカード背景：脅迫,1
item-1248,アイコン：オフィシャル四コマVol.4,1
item-1260,IDカード背景：イースターの警告,1
item-1261,アイコン：イースターのウサギ,1
item-1262,M1911メンタルアップグレードアイコン,1
item-1263,FF FN49メンタルアップグレードアイコン,1
item-1264,M4A1メンタルアップグレードアイコン,1
item-1265,ST AR-15メンタルアップグレードアイコン,1
item-1268,M1895メンタルアップグレードアイコン,1
item-1269,モシン・ナガンメンタルアップグレードアイコン,1
item-1270,M1918メンタルアップグレードアイコン,1
item-1276,アイコン：ブラックライダー,1
item-1277,アイコン：ウインドトーカー,1
item-1278,アイコン：フォーリン★エンジェル,1
item-1279,アイコン：白い人形,1
item-1280,アイコン：キャットウォリアー,1
item-1281,アイコン：エル・クレア,1
item-1282,アイコン：エル・フェイル,1
item-1283,アイコン：ポケットシティ女王,1
item-1286,IDカード背景：ポケットシティ大冒険,1
item-1287,アイコン：オフィシャル四コマ-VOL.5,1
item-1299,アイコン：彷徨う伸冤者,1
item-1304,IDカード背景：ピッパの歌,1
item-1305,アイコン：オフィシャル四コマVOL.6,1
item-1313,アイコン：超合金チマキ,1
item-1314,アイコン：チマキ猫,1
item-1315,IDカード背景：端午の節句,1
item-1318,コルトSAAメンタルアップグレードアイコン,2
item-1331,基地背景：花火の夏,1
item-1332,アイコン「水に落ちた犬」,1
item-1333,IDカード背景「最後の便」,1
item-1344,M4 SOPMOD?IIメンタルアップグレードアイコン,1
item-1345,UMP45メンタルアップグレードアイコン,2
item-1348,基地背景：サマービーチ,1
item-1349,基地背景：人の長久を願い,1
item-1357,アイコン：兵蟻くれないといたずらしちゃうぞ,1
item-1358,IDカード背景：ハロウィン・カーニバル,1
item-1359,基地背景：ハロウィンサバイバー,1
item-1366,ステンMK-IIメンタルアップグレードアイコン,1
item-1367,M14メンタルアップグレードアイコン,1
item-1368,Gr G36メンタルアップグレードアイコン,1
item-1369,LWMMGメンタルアップグレードアイコン,1
item-1385,アイコン：キャンディケーン,1
item-1386,アイコン：戦術トナカイ,1
item-1387,IDカード背景：戦術トナカイ,1
item-1388,背景：冬の到来,1
item-1389,アイコン：オフィシャル四コマ-VOL.7,1
item-1403,アイコン：オフィシャル四コマ-VOL.8,1
item-1405,IDカード背景：鉄血参上,1
item-1406,アイコン：致命的な自由,1
item-1419,アイコン：オフィシャル四コマ-VOL.9,1
item-1430,アイコン：オフィシャル四コマ-VOL.10,1
item-1438,背景：逢魔時,1
item-1439,アイコン：覚悟決めし探索者,1
item-1445,Micro Uziメンタルアップグレードアイコン,1
item-1446,AS Valメンタルアップグレードアイコン,1
item-1459,アイコン：麦酒潮流,1
item-1460,アイコン：赤色鉄拳大満貫,1
item-1461,アイコン：猫ちゃんは離れない,1
item-1462,アイコン：くそったれな世界に乾杯,1
item-1463,アイコン：親愛なるベッキーへ,1
item-1464,アイコン：スーパーちびっ子隊長,1
item-1465,IDカード背景：バーVA-11 Hall-Aへようこそ,1
item-1490,真核の仮面記念アイコン：連鎖分裂,1
item-1491,アイコン：迷える月下美人,1
item-1492,IDカード背景：始発点,1
item-1493,MP5メンタルアップグレードアイコン,4
item-1494,HK416メンタルアップグレードアイコン,1
item-1495,漢陽88式メンタルアップグレードアイコン,2
item-1496,UMP9メンタルアップグレードアイコン,1
item-1502,背景：花畑は夢幻の中に,1
item-1511,アイコン：夏の思い出,1
item-1513,アイコン：褒め上手,1
item-1514,アイコン：怪夜の対決,1
item-1515,IDカード背景：狂騒の幕切れ,1
item-1516,アイコン：幽霊船船長猫,1
item-1540,アイコン：メリークリスマスだワン！,1
item-1541,アイコン：抱っこして！,1
item-1542,IDカード背景：時を超えた抱擁,1
item-1550,スチェッキンメンタルアップグレードアイコン,2
item-1553,NTW-20メンタルアップグレードアイコン,1
item-1554,アイコン：吉祥の前触れ,1
item-1555,背景：雪情映す閑庭,1
item-1566,アイコン：思考の刹那,1
item-1567,IDカード背景：怒砲来たれり,1
item-1583,アーキテクトアイコン,1
item-1610,とある非科学の向日葵,1
item-1611,アイコン：ツァボライト少女,1
item-1612,アイコン：記述魔眼,1
item-1613,IDカード背景：光陰の果て,1
item-1614,背景：黄昏の城,1
item-1616,M950Aメンタルアップグレードアイコン,1
item-1617,M500メンタルアップグレードアイコン,1
item-1618,GSh-18メンタルアップグレードアイコン,1
item-1619,KSVKメンタルアップグレードアイコン,2
item-1652,アイコン：傲霜のコンチェルト,1
item-1669,IDカード背景：碧い海にBBQ！,1
item-1670,アイコン：熱帯モヒート,1
item-1671,アイコン：51日目の夕日,1
item-1673,アイコン：癒しのハーブ,1
item-1674,アイコン：少女たちの魔法使い,1
item-1675,アイコン：スイーツ鑑定人,1
item-1676,アイコン：眠れるカボチャ姫,1
item-1677,アイコン：お日さまハニー,1
item-1678,IDカード背景：数えきれない願望の中心,1
item-1679,IDカード背景：疑いの果てに,1
item-1685,89式二周年記念アイコン,1
item-1694,基地背景：夕日輝く湖畔,1
item-1695,基地背景：お星さまの庭,1
item-1696,基地背景：お日さまの庭,1
item-1697,アイコン：ライブ入場券,1
item-1698,IDカード背景：金メッキの名刺,1
item-1699,IDカード背景：ロイヤルストレートフラッシュ,1
item-1700,アイコン：王の中の王,1
item-1701,IDカード背景：ポラリスの光,1
item-1703,アイコン：構築の理,1
item-1704,アイコン：偏移の天秤,1
item-1705,IDカード背景：戦乱の狼煙,1
item-1706,背景：フローラの花道,1
item-1707,G11メンタルアップグレードアイコン,1
item-1709,RO635メンタルアップグレードアイコン,1
item-1710,97式散メンタルアップグレードアイコン,1
item-1741,アイコン：沈黙の決別,1
item-1742,アイコン：仮面の人生,1
item-1743,IDカード背景：幕切れの時,1
item-1758,アイコン：原罪・レヴィアタン,1
item-1759,アイコン：原罪・サマエル,1
item-1760,アイコン：「グリフィンに指揮官在り」,1
item-1761,アイコン：エージェント「ディーマ」,1
item-1762,IDカード背景：Last Gaming,1
item-1763,IDカード背景：明日の都,1
item-1764,IDカード背景：暁の光,1
item-1765,IDカード背景：静謐な寒舎,1
item-1766,基地背景：隠れ家,1
item-1768,item-10001768,1
item-1770,アイコン：春,1
item-1771,アイコン：夏,1
item-1772,アイコン：秋,1
item-1773,アイコン：冬,1
item-1774,IDカード背景：業務リスト,1
item-1797,アイコン：はむっ！はふはふ！,1
item-1801,56式半メンタルアップグレードアイコン,1
item-1802,ヴェルロッドメンタルアップグレードアイコン,1
item-1806,アイコン：断絶者,1
item-1807,アイコン：運命の織り手,1
item-1808,アイコン：エージェント「U」,1
item-1809,アイコン：独り影,1
item-1810,アイコン：隠れ刃,1
item-1811,アイコン：泡沫の夢,1
item-1812,アイコン：世慣れ,1
item-1813,IDカード背景：微かな朝の光,1
item-1814,IDカード背景：降臨,1
item-1815,IDカード背景：焼失,1
item-1816,IDカード背景：暗い夢,1
item-1817,IDカード背景：隠された真実,1
item-1818,IDカード背景：真意,1
item-1819,基地背景：夢幻迷境,1
item-1820,基地背景：風吟,1
item-1821,基地背景：午後の静室,1
item-1822,基地背景：鷲羽ホール,1
item-1861,マカロフメンタルアップグレードアイコン,1
item-1862,MG4メンタルアップグレードアイコン,1
item-1863,RMB-93メンタルアップグレードアイコン,2
item-1886,アイコン：驚鴻,1
item-1887,IDカード背景：夜明けの刻,1
item-1889,アイコン：ウェイブ・ラングラー,1
item-1890,アイコン：深海より来たる,1
item-1891,アイコン：最優秀主演女優,1
item-1900,IDカード背景：光と影に浴す,1
item-1906,アイコン：一瞥にてその心を知る,1
item-1907,アイコン：一口で味わう酸いと甘い,1
item-1908,アイコン：一嗅ぎで思い起こす友の顔,1
item-1909,アイコン：溜息一つで語る昔日,1
item-1910,アイコン：しかめた顔は明日のため,1
item-1911,アイコン：悪魔の呼び声,1
item-1912,アイコン：哀悼★之涙,1
item-1913,アイコン：魔王☆真眼,1
item-1914,IDカード背景：暖かな四畳半,1
item-1915,基地背景：夢生まれし場所,1
item-1916,基地背景：約束のレストランドリーム,1
item-1941,アイコン：勇敢な騎士,1
item-1942,アイコン：ワイルドハント,1
item-1943,アイコン：バンシィ,1
item-1944,アイコン：ミノムシ,1
item-1945,アイコン：背馳,1
item-1946,アイコン：それぞれの方向,1
item-1947,アイコン：雨夜のウィスキー,1
item-1948,IDカード背景：苦難の道,1
item-1949,IDカード背景：嵐の前,1
item-1950,IDカード背景：花火が咲く夜,1
item-1951,IDカード背景：フェイタルバレット,1
item-1952,IDカード背景：ブラッディナイト,1
item-1953,IDカード背景：落日の刻,1
item-1954,基地背景：倦怠の午後,1
item-1968,G36Cメンタルアップグレードアイコン,1
item-1969,リベロールメンタルアップグレードアイコン,1
item-1970,ゲパード M1メンタルアップグレードアイコン,1
item-1971,MP-443メンタルアップグレードアイコン,1
item-1990,アイコン：薄紅の瞳に消える,1
item-1991,アイコン：紫夜に酔う,1
item-1992,IDカード背景：薄紅と紫の渦,1
item-2007,初凪に焦がれて,1
item-2008,基地背景：薄霧の雪原,1
item-2013,アイコン：星光の誕生,1
item-2014,アイコン：酒を手に唄う,1
item-2015,アイコン：願いを背負いし独行者,1
item-2016,アイコン：最高のパートナー,1
item-2017,アイコン：逆風の旅立ち,1
item-2018,アイコン：無垢なる忠実な友,1
item-2019,IDカード背景：幕を開ける者,1
item-2059,アイコン：花を言葉に,1
item-2060,アイコン：視線の先,1
item-2061,アイコン：彼女へのチョコレート,1
item-2062,IDカード背景：夜のココアの香り,1
item-2141,IDカード背景：道の果てまで,1
item-2173,IDカード背景：ベースノートファンク,1
item-2187,IDカード背景：円卓のバーテンダー,1
item-2194,アイコン：ダジャレの天才,1
item-2195,アイコン：太陽の栄光,1
item-2196,アイコン：月の海,1
item-2197,アイコン：充電中……,1
item-2198,アイコン：超一流作家,1
item-2199,アイコン：今月もピンチ！,1
item-2200,アイコン：純白の天使,1
item-2201,アイコン：アウロラの守護者,1
item-2202,IDカード背景：宿命の天秤,1
item-2203,IDカード背景：ネオンの黄昏,1
item-2204,基地背景：都市巡遊記,1
item-2205,IDカード背景：秋園にて舞う,1
item-2223,アイコン：世界一のウインク,1
item-2225,IDカード背景：欲望の都,1
item-2243,アイコン：運命など此処で壊せ,1
item-2244,アイコン：奏でろ荒ぶる魂,1
item-2245,アイコン：目覚めろドリーマー,1
item-2246,アイコン：叫べ願いを,1
item-2247,アイコン：滅べ！約束！,1
item-2248,アイコン：笑ったらぶっ殺す！,1
item-2249,アイコン：トゥ・マイラブ,1
item-2250,アイコン：我が心の願い,1
item-2251,アイコン：ワン！アゥ！ワン！,1
item-2252,アイコン：スルメ！イカ！,1
item-2253,アイコン：ずっとわたしを見てて,1
item-2254,IDカード背景：2000フィートの上から愛を叫ぶ,1
item-2255,IDカード背景：スポットライトの下で共に歌おう,1
item-2256,IDカード背景：洋館の不滅伝説,1
item-2257,IDカード背景：ライブは終わらない！,1
item-2258,基地背景：本日晴れ、お風呂よし,1
item-2259,基地背景：深夜零時,1
item-4001,都市の贈り物,29258
item-4002,雪原の贈り物,16490
item-4003,森林の贈り物,20005
item-4004,荒野の贈り物,13713
item-6001,普通の肉まん,0
item-6002,一せいろの肉まん,0
item-6003,プレミアム肉まん,44
item-6004,平民の標準装備,0
item-6005,お一人様大満足セット,1
item-6006,お二人様お幸せセット,50
item-6007,1ピースのチーズケーキ,0
item-6008,ウィークリーケーキセレクト,0
item-6009,スウィーツの宝箱,49
item-6010,「Baby B-A-B-Y.」,67
item-6011,屋台のおでん,54
item-6012,野生蜂蜜セット,75
item-6013,アイス劇場,81
item-7004,恋愛脳,1
item-7006,あぶく,2
item-7012,桜色そよ風,1
item-7020,誓約の記念,1
item-7024,伝説,2
item-7025,「メドゥシアナ」,0
item-7026,ポストモダン戦馬,1
item-7201,無常のカード,1
item-8001,情報ポイント,2630
item-8002,情報ポイント,0
item-8003,機密ファイル,0
item-9001,物資箱,0
item-9003,物資箱,0
item-9004,物資箱,0
item-9005,物資箱,0
item-9006,item-10009006,1
item-9007,item-10009007,1
item-9020,応援ポイント,457548
item-9021,歌,0
item-9022,ダンス,0
item-9023,資金,0
item-9024,モチベーション,1625
item-9025,インスピレーション,350
item-9030,パフォーマンススコア,10000
item-9031,グリフィンスコア,9500
item-10603,模擬作戦超伝導PE,141
item-10604,超伝導パルス,204
item-10605,活躍度,50
item-10606,前線協定パス,1825
item-100006,ジンジャークッキー,1
item-100008,イースターエッグ,5
item-100009,リスペクトクラウン,20
item-100012,超合金チマキ,0
item-100018,真核の仮面・異性体,0
item-100019,ショコラドッグ,60
item-100020,真核の仮面：三周年,0
item-100021,三周年特?物資箱,0
item-100023,ホワイトナイトの欠片,91
item-100025,真核の仮面・連鎖分裂,0
item-100027,奇妙な石鹸,20
item-100030,新星勲章・偏極光,2
item-100031,白金勲章・偏極光,4
item-100032,真核の仮面：偏極光,0
item-100035,オレンジコイン,80
item-100040,真核の仮面・四周年,0
item-100042,二周年スキン抽選券,0
item-100043,三周年スキン抽選券,0
item-100044,四周年スキン抽選券,0
item-100045,四周年特別物資箱,0
item-100047,新星勲章・碧海秘話,0
item-100048,白金勲章・碧海秘話,3
item-100049,碧海の貝笛,20
item-100050,新星勲章・夢中劇,3
item-100051,白金勲章・夢中劇,1
item-100052,アウグストゥス,24
item-100053,真核の仮面・二周年,0
item-100055,二周年スキン抽選券,0
item-100056,二周年特?物資箱,0
item-100057,真核の仮面：双連乱数,0
item-100058,新星勲章・双連乱数,1
item-100059,白金勲章・双連乱数,1
item-100066,幻の蝶,10
item-100067,新星勲章・繭中の蝶,2
item-100068,白金勲章・繭中の蝶,2
item-100070,フェニックスクレジット,112
item-100071,新星勲章・闇懸金,0
item-100072,白金勲章・闇懸金,4
item-100073,もみの星飾り,40
item-100074,新星勲章・雪夜の無礼講ノクターン,1
item-100075,白金勲章・雪夜の無礼講ノクターン,1
item-100077,物資箱・鏡像論,0
item-100078,新星勲章・鏡像論,1
item-100079,白金勲章・鏡像論,2
item-100080,真核の仮面・鏡像論,0
item-100081,新星勲章・写真館の謎,2
item-100082,白金勲章・写真館の謎,806
item-100083,オレンジコイン,300
item-100092,新星勲章・碧海秘話,0
item-100093,白金勲章・碧海秘話,2
item-100094,碧海の貝笛,20
item-100095,新星勲章・ウェイブ・ラングラー,3
item-100096,白金勲章・ウェイブ・ラングラー,2
item-100097,スターアロー,70
item-100098,新星勲章・邪神ちゃん前線,4
item-100099,白金勲章・邪神ちゃん前線,0
item-100100,人生メダル,0
item-100101,物資箱・回帰定理,0
item-100102,新星勲章・回帰定理,52
item-100103,白金勲章・回帰定理,1431
item-100104,真核の仮面・回帰定理,0
item-100108,奇妙な石鹸,10
item-100109,新星勲章・怪夜狂騒劇,3
item-100110,白金勲章・怪夜狂騒劇,1
item-100114,ホワイトナイトの欠片,14
item-100115,新星勲章・ヴァルハラ,0
item-100116,白金勲章・ヴァルハラ,4
item-100117,もみの星飾り,660
item-100118,新星勲章・雪夜の無礼講ノクターン,3
item-100119,白金勲章・雪夜の無礼講ノクターン,1
item-100123,クリスマスコイン,5
item-100124,新星勲章・一枚の重み,2
item-100125,白金勲章・一枚の重み,1
item-100131,新星勲章・写真館の謎,4
item-100132,白金勲章・写真館の謎,1
item-100133,オレンジコイン,70
item-100134,新星勲章・愛を焙炒,3
item-100135,白金勲章・愛を焙炒,2
item-100136,焙炒カカオ,0
item-100141,新星勲章・碧海秘話,1
item-100142,白金勲章・碧海秘話,0
item-100143,碧海の貝笛,30
item-100160,幻の蝶,10
item-100161,新星勲章・繭中の蝶,2
item-100162,白金勲章・繭中の蝶,4
item-100163,半影コイン,1
item-100164,新星勲章・エクリプス・サロス,1
item-100165,白金勲章・エクリプス・サロス,4
item-100175,幸太郎コイン,1
item-100176,白金勲章・雪の如き浪?花顔を映ず,0
item-110002,イベントポイント,3000
item-110003,イベントポイント,2900
item-110004,イベントポイント,2450
item-110005,イベントポイント,1820
item-110008,イベントポイント,2720
item-110009,イベントポイント,2500
item-110010,イベントポイント,2500
item-110011,イベントポイント,2430
item-110012,イベントポイント,2950
item-110013,イベントポイント,2550
item-110014,イベントポイント,2600
item-110015,イベントポイント,3000
item-110016,イベントポイント,2800
item-110017,イベントポイント,2450
item-110018,イベントポイント,3000
item-110019,イベントポイント,2600
item-110020,イベントポイント,3000
item-110021,イベントポイント,2800
item-110022,イベントポイント,2300
item-110039,イベントポイント,13381354
item-110043,イベントポイント,8452513
item-110044,イベントポイント,3934000
item-120001,友人譚,1
item-120002,友人譚,1
item-120003,友人譚,1
item-120004,友人譚,1
item-120005,友人譚,1
item-120006,友人譚,1
item-130010,雪中独行,1
item-140002,榴弾キャッチャー,1
item-140003,榴弾キャッチャー,1
item-140004,榴弾キャッチャー,1
item-140006,item-10140006,1
item-140008,item-10140008,1
item-140010,item-10140010,1
item-200001,アイコンフレーム：ファンタジアコネクト,1
item-200002,アイコンフレーム：メンタル潮流,1
item-200003,アイコンフレーム：極みの頂,2
item-200005,アイコンフレーム：霓の影,1
item-200009,アイコンフレーム：踊る筆先,1
item-200012,アイコンフレーム：ライフリング,1
item-200013,アイコンフレーム：肉球ケアマスター,1
item-200014,アイコンフレーム：街角残響,1
item-200015,アイコンフレーム：アンドロイド犬が電子酒の夢を見た時,1
item-200016,アイコンフレーム：駿馬の嘶き,1
item-200017,アイコンフレーム：新春万福,1
item-200018,アイコンフレーム：浮世の網,1
item-900030,新星勲章,3
item-900031,白金勲章,1
item-900032,新星勲章,3
item-900033,白金勲章,2
item-900034,新星勲章・怪夜狂騒劇,3
item-900035,白金勲章・怪夜狂騒劇,2
item-900036,新星勲章・異性体,1
item-900037,白金勲章・異性体,2
item-900038,新年限定物資箱,0
item-900039,新星勲章・連鎖分裂,52
item-900040,白金勲章・連鎖分裂,658
item-900041,リスペクトクラウン,10
item-900042,新星勲章・Glory Day,3
item-900043,白金勲章・Glory Day,4
item-900044,新年限定物資箱,0
item-900045,新星勲章・ウェイブ・ラングラー,0
item-900046,白金勲章・ウェイブ・ラングラー,2
item-900047,スターアロー,10
item-900048,奇妙な石鹸,350
item-900049,新星勲章・怪夜狂騒劇,4
item-900050,白金勲章・怪夜狂騒劇,0
item-900051,クリスマスコイン,1
item-900052,新星勲章・一枚の重み,3
item-900053,白金勲章・一枚の重み,2
item-1100001,ハイスピード・ビューティ,1
item-1100002,ハイスピード・ビューティ,1
item-1100003,銀河の誓い,1
item-1100004,銀河の誓い,1
item-1100005,いただきます！,1
item-1100006,いただきます！,1
item-1100007,融け合う光,1
item-1100008,融け合う光,1
item-1500009,基本装備指定ビーコン,0
item-1500010,アタッチメント装備指定ビーコン,0
item-1500011,弾倉装備指定ビーコン,0
item-1500012,人形装備指定ビーコン,0
item-1500013,未所持人形開放ビーコン,0
item-1500014,前線協定-追加報酬,0
item-1500015,未所持人形開放ビーコン,0
item-1500016,前線協定-追加報酬,0
item-1500017,基本装備指定ビーコン,0
item-1500018,基本装備指定ビーコン,0
item-1500019,未所持人形開放ビーコン,0
item-1500020,前線協定-追加報酬,0
item-1500023,星4人形支援要請書,0
item-1500029,星4?SG人形支援要請書,0
item-1500037,基本装備指定ビーコン,0
item-1500038,アタッチメント装備指定ビーコン,0
item-1500039,未所持人形開放ビーコン,0
item-1500040,前線協定-追加報酬,0
item-1500041,基本装備指定ビーコン,0
item-1500042,アタッチメント装備指定ビーコン,0
item-1500043,未所持人形開放ビーコン,0
item-1500044,前線協定-追加報酬,0
gift-595,アンティーク蒐集家,1
gift-100001,ロリポップ,2270
gift-100002,アイスクリーム,1259
gift-100003,ショートケーキ,2902
gift-100005,ムーランティー,40
gift-100006,幸せの魔法,60
gift-100007,ウィスキー,43
gift-100008,エデンの林檎,10
gift-100021,ステップ・アップ,1
gift-200001,作戦報告書,29772
gift-200003,安売りビール,20
gift-200004,ターゲットペーパー,60
gift-200005,カンデル製剤,60
gift-200006,サタンの涙,10
gift-200021,サウンド・オブ・佐賀,4
gift-400001,急速成長ディスク,14108
gift-30004,情動の七日間,1
furniture-10110,アドバンス・マルチ作業台,10
furniture-10210,大型猫ハウス,10
furniture-10310,犬用保護ステーション,10
furniture-10410,最新型三連鳥かご,10
furniture-10510,全自動二層恒温楽園,10
furniture-20110,未来的なデスク,10
furniture-20210,高度なドローンコンソール,10
furniture-20310,高度な自動操作ステーション,10
furniture-20510,高度な大型サーバ,10
furniture-20410,ハードディスク陳列台,10
furniture-20610,高度な自動書き込み機,10
furniture-20700,思い出の本棚,0
furniture-30110,妖精神殿,10
furniture-30210,国王鉄道ターミナルの模型,10
furniture-30310,高度な倉庫の模型,10
furniture-30410,双月の天気システム,10
furniture-40023,コーヒーマシン,0
furniture-40024,レコードプレーヤー,0
furniture-40026,ノート,0
furniture-40027,映写機,0
furniture-40028,本棚,0
furniture-40009,ラフベリーチェス,0
furniture-50110,データ観測中枢,10
furniture-50210,ホロミッションボード,10
furniture-50310,水冷式超速記憶装置,10
furniture-50410,未来的な解析ターミナル,10
furniture-60110,保管庫,10
furniture-60203,大型メンテナンス装置,3
furniture-60310,総合室内訓練場,10
furniture-60400,エレベーター-重装兵舎へ,0
furniture-70100,エレベーター-格納庫へ,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-80007,ライブモニター,0
furniture-80011,ブラックマーケット,0
furniture-80110,最先端ゲートコンソール,10
furniture-80306,上級戦利品収納棚,6
furniture-90110,パルス生成炉,10
furniture-90205,戦術チップ開発ステーション,5
furniture-90400,潜在転移駆動装置,0
