ID,図鑑番号,種類,レアリティ,人形,レベル,累計経験値,現在経験値,必要経験値,リンク数,MOD,最大HP,HP,火力,命中,回避,射速,移動速度,防御,弾約数,会心率,スキル1,スキル2,装備1,装備2,装備3,好感度,誓約,誓約日,ロック
332005730,114,HG,★★★★★,ウェルロッドMkⅡ,1,0,0,0,x1,,40,40,9,8,10,33,15,0,0,40,1,0,,,,50,,,ロック
332006567,331,HG,★★★★★,コリブリ,1,0,0,0,x1,,33,33,5,7,15,38,15,0,0,20,1,0,,,,50,,,ロック
332075686,106,AR,★★★★★,FAL,1,0,0,0,x1,,66,66,21,6,5,49,10,0,0,20,1,0,,,,50,,,ロック
332090905,99,HG,★★★★,Gr Mk23,1,0,0,0,x1,,40,40,11,7,9,44,15,0,0,20,1,0,,,,50,,,ロック
332092628,106,AR,★★★★★,FAL,1,0,0,0,x1,,66,66,21,6,5,49,10,0,0,20,1,0,,,,50,,,ロック
332234563,354,HG,★★★★,ZiP .22,1,0,0,0,x1,,33,33,12,6,12,44,15,0,0,20,1,0,,,,50,,,
332365993,310,HG,★★★★,Rex Zero 1,1,0,0,0,x1,,35,35,12,8,10,42,15,0,0,20,1,0,,,,50,,,ロック
332370925,7,HG,★★★★,スチェッキン,1,0,0,0,x1,,42,42,11,6,9,45,15,0,0,20,6,0,,,,50,,,ロック
332563250,349,AR,★★★★,AK74M,1,0,0,0,x1,,55,55,17,7,5,48,10,0,0,20,1,0,,,,50,,,ロック
332576594,331,HG,★★★★★,コリブリ,1,0,0,0,x1,,33,33,5,7,15,38,15,0,0,20,1,0,,,,50,,,
332617663,22,SMG,★★★,PPS-43,1,0,0,0,x1,,88,88,13,2,9,52,12,0,0,5,1,0,,,,50,,,
332617667,94,SMG,★★,64式,1,0,0,0,x1,,88,88,11,2,9,65,12,0,0,5,1,0,,,,50,,,
332617671,133,AR,★★,63式,1,0,0,0,x1,,50,50,19,5,5,50,10,0,0,20,1,0,,,,50,,,
332617678,68,AR,★★,L85A1,1,0,0,0,x1,,47,47,16,5,5,52,10,0,0,20,1,0,,,,50,,,
332617694,33,SMG,★★,m45,1,0,0,0,x1,,93,93,12,2,9,52,12,0,0,5,1,0,,,,50,,,
332617705,94,SMG,★★,64式,1,0,0,0,x1,,88,88,11,2,9,65,12,0,0,5,1,0,,,,50,,,
332617707,133,AR,★★,63式,1,0,0,0,x1,,50,50,19,5,5,50,10,0,0,20,1,0,,,,50,,,
332617714,47,RF,★★,G43,1,0,0,0,x1,,40,40,41,8,4,27,7,0,0,40,1,0,,,,50,,,
332617715,80,MG,★★★,M1919A4,1,0,0,0,x1,,91,91,36,4,3,69,4,0,9,5,1,0,,,,50,,,
332617735,93,SMG,★★,IDW,1,0,0,0,x1,,75,75,9,2,10,49,12,0,0,5,1,0,,,,50,,,
332617756,74,AR,★★,SIG-510,1,0,0,0,x1,,58,58,20,5,5,39,10,0,0,20,1,0,,,,50,,,
332617759,91,HG,★★,MP-446,1,0,0,0,x1,,33,33,11,7,9,40,15,0,0,20,1,0,,,,50,,,
332617763,93,SMG,★★,IDW,1,0,0,0,x1,,75,75,9,2,10,49,12,0,0,5,1,0,,,,50,,,
332617770,10,HG,★★,PPK,1,0,0,0,x1,,29,29,9,7,12,42,15,0,0,20,1,0,,,,50,,,
332617771,68,AR,★★,L85A1,1,0,0,0,x1,,47,47,16,5,5,52,10,0,0,20,1,0,,,,50,,,
332617778,93,SMG,★★,IDW,1,0,0,0,x1,,75,75,9,2,10,49,12,0,0,5,1,0,,,,50,,,
332617786,33,SMG,★★,m45,1,0,0,0,x1,,93,93,12,2,9,52,12,0,0,5,1,0,,,,50,,,
332617795,94,SMG,★★,64式,1,0,0,0,x1,,88,88,11,2,9,65,12,0,0,5,1,0,,,,50,,,
332617796,68,AR,★★,L85A1,1,0,0,0,x1,,47,47,16,5,5,52,10,0,0,20,1,0,,,,50,,,
332617798,33,SMG,★★,m45,1,0,0,0,x1,,93,93,12,2,9,52,12,0,0,5,1,0,,,,50,,,
332617799,105,AR,★★★,OTs-12,1,0,0,0,x1,,53,53,15,7,7,48,10,0,0,20,1,0,,,,50,,,
331314785,20055,AR,★★★★★,M4A1 Mod,104,3859150,75850,104150,x5,Mod1,555,555,49,48,48,79,10,0,0,20,8,0,PEQ-5,JHP高速弾,IOP X2外骨格,100,,,ロック
331319983,20057,AR,★★★★★,ST AR-15 Mod,103,3730405,107105,52895,x5,Mod1,525,525,48,53,50,77,10,0,0,20,10,0,VFL 6-24X56,PEQ-16A,APCR高速弾,100,,,ロック
331319982,20056,AR,★★★★★,M4 SOPMOD II Mod,102,3551135,67835,72165,x5,Mod1,555,555,51,49,45,78,10,0,0,30,10,0,VFL 6-24X56,PEQ-15,APCR高速弾,100,,,ロック
331337026,95,RF,★★★,漢陽88式,55,310320,4520,14980,x1,,79,79,77,37,23,27,7,0,0,40,2,0,,,,72,,,ロック
331366203,12,HG,★★★,C96,40,105500,0,8800,x3,,174,174,19,20,30,51,15,0,0,20,1,0,,,,72,,,ロック
331383332,273,RF,★★★★,SSG3000,43,139500,6000,4500,x3,,189,189,79,39,15,31,7,0,0,40,1,0,M993徹甲弾,,,74,,,ロック
331537642,97,HG,★★★★★,M950A,90,2011170,35770,76830,x5,,365,365,28,50,63,70,15,0,0,20,2,0,AC2サイレンサー,,IOP T2外骨格,81,,,ロック
331563660,323,SG,★★★★★,LTLX7000,56,325438,138,20262,x3,,642,642,17,9,7,25,6,15,5,40,6,0,Type2防弾ベスト,,,75,,,ロック
331312738,105,AR,★★★,OTs-12,40,110136,4636,4164,x3,,219,219,26,26,26,58,10,0,0,20,1,0,,,,51,,,ロック
331314790,61,AR,★★★,StG44,40,106775,1275,7525,x3,,267,267,33,22,18,49,10,0,0,20,1,0,,,,51,,,ロック
331366204,26,SMG,★★★★,Gr MP5,50,221000,0,15400,x3,,375,375,21,8,39,76,12,0,0,5,1,0,,,,50,,,ロック
331366207,32,SMG,★★★,Micro Uzi,55,314000,8200,11300,x3,,369,369,18,7,48,89,12,0,0,5,1,0,,,,50,,,ロック
331426177,143,SMG,★★★★★,RO635,96,2795471,91671,42429,x5,,950,950,27,14,69,96,12,0,0,5,5,0,IOP T2外骨格,ILMホローポイント弾,LRA 2-12x50,88,,,ロック
331312561,27,SMG,★★★,スコーピオン,73,882409,37509,12891,x4,,548,548,20,10,64,87,12,0,0,5,1,0,IOP X2外骨格,ILMホローポイント弾,,56,,,ロック
331312595,53,RF,★★★★★,NTW-20,61,445763,8863,16437,x3,,225,225,122,49,20,27,7,0,0,40,1,0,M993徹甲弾,LRA 2-12x50,,53,,,ロック
331366206,81,MG,★★,LWMMG,57,353300,7600,13700,x3,,408,408,71,16,15,79,4,0,9,5,1,0,Mk169M63徹甲弾,LRA 2-12x50,,56,,,ロック
331424628,36,RF,★★★★,スプリングフィールド,73,870854,25954,24446,x4,,292,292,106,55,31,29,7,0,0,40,1,0,Mk169M63徹甲弾,LRA 2-12x50,,55,,,ロック
331924739,331,HG,★★★★★,コリブリ,46,177300,10400,2100,x3,,144,144,10,31,67,47,15,0,0,20,1,0,,,,51,,,ロック
331312446,341,SMG,★★★★★,SP9,97,2956946,119046,18854,x5,,1085,1085,27,13,67,88,12,0,0,5,7,0,IOP T2外骨格,ILMホローポイント弾,AC3サイレンサー,98,,,ロック
331366205,75,MG,★★★★,M1918,56,343758,18458,1942,x3,,366,366,69,19,20,97,4,0,8,5,1,0,,,,50,,,ロック
331424625,154,SG,★★★,M500,61,458150,21250,4050,x3,,636,636,24,8,7,26,6,14,4,40,1,0,,,,51,,,ロック
331511045,253,MG,★★★★★,ルイス,74,921374,26074,26126,x4,,660,660,84,24,24,106,4,0,10,5,1,0,M33狙撃弾,LRA 2-12x50,,51,,,ロック
331537537,99,HG,★★★★,Gr Mk23,46,177960,11060,1440,x3,,174,174,19,28,35,53,15,0,0,20,1,0,,,,52,,,ロック
331310739,71,AR,★★,ガリル,34,68350,0,0,x3,,210,210,28,18,18,51,10,0,0,20,1,0,,,,50,,,ロック
331344247,44,RF,★★★,SV-98,36,76312,0,0,x3,,171,171,72,33,13,30,7,0,0,40,1,0,,,,50,,,ロック
331344248,6,HG,★★★,トカレフ,40,110020,0,0,x3,,180,180,20,23,32,42,15,0,0,20,1,0,,,,50,,,ロック
331537546,354,HG,★★★★,ZiP .22,14,9960,0,0,x2,,76,76,15,11,22,47,15,0,0,20,3,0,,,,50,,,ロック
331845418,365,AR,★★★★★,SCR,1,0,0,0,x1,,55,55,17,6,6,51,10,0,0,20,1,0,,,,50,,,ロック
